Rank	Name	Height ft (m)	Floors	Year
01.0 1	RSA Battle House Tower	745 (227)	35	2007
02.0 2	RSA–BankTrust Building	424 (129)	34	1965
03.0 3	Renaissance Riverview Plaza Hotel	374 (114)	28	1983
04.0 4=	Mobile Government Plaza	325 (99)	12	1994
05.0 4=	Mobile Marriott	325 (99)	20	1979
06.0 6	Regions Bank Building	236 (72) [A ]	18	1929
07.0 7	Wachovia Building	230 (70)	16	1947
08.0 8	Lafayette Plaza Hotel	180 (55)	17	1975
09.0 9	Providence Hospital	170 (52)	11	1987
10.0 10	Commerce Building	160 (49)	12	1958
11.0 11	Radisson Admiral Semmes Hotel	136 (42)	12	1940
12.0 12	Van Antwerp Building	120 (37)	11	1907
13.0 13	Battle House Hotel	119 (36)	7	1908
14.0 14	Royal St. Francis Building	115 (35)	7	1908
15.0 15	Cathedral Basilica of the Immaculate Conception	102 (31)	2	1850
