Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2001	Formula Renault 2000 Eurocup	RC Motorsport	10	0	1	0	1	46	14th
2001	Formula Renault 2000 Italy	RC Motorsport	5	0	0	1	1	27	13th
2002	Formula Renault 2000 Eurocup	RC Motorsport	8	0	1	0	2	80	7th
2002	Formula Renault 2000 Italy	RC Motorsport	10	4	3	5	6	188	2nd
2002	Formula Renault 2000 Brazil	RS2	1	1	1	1	1	N/A	NC†
2003	Formula 3 Euro Series	Prema Powerteam	13	1	0	3	2	31	12th
2003	British Formula Three	Prema Powerteam	2	0	0	0	0	N/A	NC†
2003	Masters of Formula Three	Prema Powerteam	1	0	0	0	0	N/A	33rd
2003	Macau Grand Prix	Target Racing	1	0	0	0	0	N/A	NC
2003	F3 Korea Super Prix	Target Racing	1	0	0	0	0	N/A	6th
2004	Formula 3 Euro Series	Mücke Motorsport	20	0	0	0	3	53	7th
2004	Macau Grand Prix	Manor Motorsport	1	0	1	1	1	N/A	2nd
2005	Formula Renault 3.5 Series	Epsilon Euskadi	17	4	3	1	11	154	1st
2005	Macau Grand Prix	Carlin Motorsport	1	0	0	0	1	N/A	2nd
2005	Formula One	Mild Seven Renault F1 Team	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver	Test driver
2006	Formula One	BMW Sauber F1 Team	6	0	0	0	1	6	16th
2007	Formula One	BMW Sauber F1 Team	16	0	0	0	0	39	6th
2008	Formula One	BMW Sauber F1 Team	18	1	1	0	7	75	4th
2009	Formula One	BMW Sauber F1 Team	17	0	0	0	1	17	14th
2010	Formula One	Renault F1 Team	19	0	0	1	3	136	8th
2013	European Rally Championship	PH Sport	4	0	–	–	0	17	23rd*
2013	World Rally Championship-2	Robert Kubica	7	5	–	–	6	143	1st*
2013	World Rally Championship	Robert Kubica	5	0	–	–	0	18	12th*
