Game	February	Opponent	Score	Record
32	1	@ Detroit Red Wings	2 - 0	20-5-7
33	4	Montreal Canadiens	9 - 0	21-5-7
34	6	@ Boston Bruins	6 - 2	21-6-7
35	8	Toronto Maple Leafs	2 - 1	22-6-7
36	10	@ Toronto Maple Leafs	4 - 4 OT	22-6-8
37	11	@ Chicago Black Hawks	3 - 0	22-7-8
38	15	Detroit Red Wings	3 - 1	23-7-8
39	18	@ Detroit Red Wings	2 - 0	23-8-8
40	22	@ New York Americans	1 - 0 OT	23-9-8
41	24	@ Montreal Canadiens	2 - 0	24-9-8
42	25	Montreal Canadiens	6 - 2	25-9-8
43	29	Chicago Black Hawks	2 - 1	25-10-8
