Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	11	Tony Kanaan	Andretti Green	225	1:47:42.4393	3	25	50
2	27	Dario Franchitti	Andretti Green	225	+2.5707	10	0	40
3	10	Dan Wheldon	Target Chip Ganassi	225	+3.1149	4	37	35
4	9	Scott Dixon	Target Chip Ganassi	225	+3.4026	2	0	32
5	4	Vitor Meira	Panther Racing	225	+5.2684	9	0	30
6	8	Scott Sharp	Rahal Letterman	225	+6.8359	11	0	28
7	20	Ed Carpenter	Vision Racing	225	+7.0360	8	0	26
8	7	Danica Patrick	Andretti Green	225	+8.0205	17	0	24
9	6	Sam Hornish, Jr.	Team Penske	224	+1 Lap	5	0	22
10	17	Jeff Simmons	Rahal Letterman	224	+1 Lap	18	0	20
11	14	Darren Manning	A.J. Foyt Racing	224	+1 Lap	15	0	19
12	55	Kosuke Matsuura	Panther Racing	223	+2 Laps	6	0	18
13	22	A. J. Foyt IV	Vision Racing	222	+3 Laps	12	0	17
14	5	Sarah Fisher	Dreyer & Reinbold Racing	221	+4 Laps	16	0	16
15	26	Marco Andretti	Andretti Green	209	Accident	19	0	15
16	3	Hélio Castroneves	Team Penske	201	Rear Wing	1	126	14+3
17	2	Tomas Scheckter	Vision Racing	159	Mechanical	13	0	13
18	15	Buddy Rice	Dreyer & Reinbold Racing	156	Accident	7	37	12
