Rank	City	Roof ( m )	Spire (m)	Floors	Built
1.	Wrocław	212	212	50	2012
2.	Warsaw	192	192	54	2012
3.	Warsaw	188	237	42	1955
4.	Warsaw	184	208	43	1999
5.	Warsaw	159	159	46	2013
5.	Warsaw	159	192	40	2006
7.	Warsaw	154	164	45	2004
8.	Warsaw	144	165	34	1998
9.	Warsaw	140	170	40	1989
10.	Warsaw	140	150	42	1979
11.	Warsaw	128	128	30	2001
12.	Gdynia	125.4	141.6	36	2009
13.	Warsaw	112	116	28	1999
14.	Warsaw	107	138	39	1975
15.	Katowice	106	125	29	2002
16.	Warsaw	106	120	30	2004
17.	Warsaw	106	111	33	1979
18.	Warsaw	105	105	26	2007
19.	Warsaw	100	120	28	1991
20.	Katowice	97	99	22	1981
21.	Warsaw	96	105	28	2002
22.	Warsaw	94	97	25	2000
22.	Warsaw	94	94	28	2007
24.	Szczecin	92	128	22	1992
24.	Katowice	92	92	20	1981
26.	Katowice	90	105	22	1985
27.	Kraków	88	105	20	1998
27.	Warszawa	88	88	21	2002
29.	Warszawa	87	94	25	2008
30.	Wrocław	85	110	23	1990
30.	Warszawa	85	85	22	2009
32	Poznań	84	102	21	2007
32	Sosnowiec	84	b/d	20	1981
34.	Poznań	83	106	22	1991
34.	Warszawa	83	103	22	1997
36	Katowice	82	87	27	1988
36	Katowice	82	87	27	1989
36	Katowice	82	87	27	1991
39.	Warszawa	82	82	22	2000
40	Katowice	81	81	27	1978
40.	Katowice	81	81	27	1978
47.	Gdańsk	80	98	20	1980
47.	Warszawa	80	85	20	1993
