Year	Men's singles	Women's singles	Women's doubles	Mixed doubles
1991	Hermawan Susanto	Susi Susanti	Kimiko Jinnai Hisako Mori	Thomas Lund Pernille Dupont
1992	Ardy B. Wiranata	Yuliani Sentosa	Gil Young-ah Shim Eun-jung	Pär-Gunnar Jönsson Maria Bengtsson
1993	Hariyanto Arbi	Lim Xiaoqing	Christine Magnusson Lim Xiaoqing	Denny Kantono Resiana Zelin
1994	Hariyanto Arbi	Susi Susanti	Finarsih Lili Tampi	Michael Søgaard Gillian Gowers
1995	Hermawan Susanto	Lim Xiaoqing	Rikke Olsen Helene Kirkegaard	Jens Eriksen Rikke Olsen
1997	Peter Gade	Camilla Martin	Park Soo-hyun Yim Kyung-jin	Sandiarto Finarsih
1998	No competition	No competition	No competition	No competition
1999	Fung Permadi	Dai Yun	Helene Kirkegaard Rikke Olsen	Liu Yong Ge Fei
2000	Peter Gade	Mia Audina	Ra Kyung-min Chung Jae-hee	Michael Søgaard Rikke Olsen
2001	No competition	No competition	No competition	No competition
2002	Taufik Hidayat	Wang Chen	Saralee Thungthongkam Sathinee Chankrachangwong	Tri Kusharyanto Emma Ermawati
2003	Wong Choong Hann	Mia Audina	Ra Kyung-min Lee Kyung-won	Kim Dong-moon Ra Kyung-min
2004	Lee Chong Wei	Chie Umezu	Cheng Wen-hsing Chien Yu-chin	Koo Kien Keat Wong Pei Tty
2005	Lee Hyun-il	Tracey Hallam	Cheng Wen-hsing Chien Yu-chin	Tony Gunawan Cheng Wen-hsing
2006	Lin Dan	Zhang Ning	Lee Kyung-won Lee Hyo-jung	Nova Widianto Lilyana Natsir
2007	Sony Dwi Kuncoro	Wang Chen	Cheng Wen-hsing Chien Yu-chin	Flandy Limpele Vita Marissa
2008	Simon Santoso	Saina Nehwal	Cheng Wen-hsing Chien Yu-chin	Devin Lahardi Lita Nurlita
2009	Nguyen Tien Minh	Cheng Shao-chieh	Yang Wei Zhang Jiewen	Valiyaveetil Diju Jwala Gutta
2010	Simon Santoso	Cheng Shao-chieh	Kim Min-jung Lee Hyo-jung	Hendra Aprida Gunawan Vita Marissa
2011	Tommy Sugiarto	Sung Ji-hyun	Ha Jung-eun Kim Min-jung	Ko Sung-hyun Eom Hye-won
2012	Nguyen Tien Minh	Tai Tzu-ying	Pia Zebadiah Rizki Amelia Pradipta	Muhammad Rijal Debby Susanto
2013	Shon Wan-ho	Sung Ji-hyun	Jung Kyung-eun Kim Ha-na	Shin Baek-cheol Jang Ye-na
