Driver	Constructor	Laps	Time/Retired	Grid
Lewis Hamilton	McLaren - Mercedes	70	1:44:11.292	1
Nick Heidfeld	BMW Sauber	70	+4.343	3
Alexander Wurz	Williams - Toyota	70	+5.325	19
Heikki Kovalainen	Renault	70	+6.729	22
Kimi Räikkönen	Ferrari	70	+13.007	4
Takuma Sato	Super Aguri - Honda	70	+16.698	11
Fernando Alonso	McLaren - Mercedes	70	+21.936	2
Ralf Schumacher	Toyota	70	+22.888	18
Mark Webber	Red Bull - Renault	70	+22.960	6
Nico Rosberg	Williams - Toyota	70	+23.984	7
Anthony Davidson	Super Aguri - Honda	70	+24.318	17
Rubens Barrichello	Honda	70	+30.439	13
Jarno Trulli	Toyota	58	Accident	10
Vitantonio Liuzzi	Toro Rosso - Ferrari	54	Accident	12
Christijan Albers	Spyker - Ferrari	47	Collision damage	21
David Coulthard	Red Bull - Renault	36	Gearbox	14
Robert Kubica	BMW Sauber	26	Accident	8
Adrian Sutil	Spyker - Ferrari	21	Accident	20
Scott Speed	Toro Rosso - Ferrari	8	Collision	16
Jenson Button	Honda	0	Gearbox	15
Felipe Massa	Ferrari	51	Disqualified	5
Giancarlo Fisichella	Renault	51	Disqualified	9
