Japanese Title	Romaji Title	TV Station	Theme Song(s)	Episodes	Average Ratings
おいしいごはん 鎌倉・春日井米店	Oishii Gohan Kamakura・Kasugai Kometen	TV Asahi	COLOR "青い鳥" (Aoi Tori)	8	9.0%
オトコの子育て	Otoko no Kosodate	TV Asahi	w-inds. "Beautiful Life"	8	8.6%
モップガール	Mop Girl	TV Asahi	ERIKA "Destination Nowhere"	10	10.16%
ガリレオ	Galileo	Fuji TV	KOH+ "KISSして" (KISS Shite)	10	21.9%
暴れん坊ママ	Abarenbou Mama	Fuji TV	mihimaru GT "I SHOULD BE SO LUCKY"	10	12.4%
スワンの馬鹿!〜こづかい3万円の恋〜	Swan no Baka ~Kodzukai Sanman-en no Koi~	Fuji TV	Harafuumi "夢を誓った木の下で" (Yume wo Chigatta Kinoshita)	11	8.3%
医龍-TEAM MEDICAL DRAGON-2	Iryu -TEAM MEDICAL DRAGON-2	Fuji TV	AI "ONE"	11	16.65%
SP エスピー	SP (Security Police)	Fuji TV	V6 "way of life"	11	15.4%
有閑倶楽部	Yukan Club	NTV	KAT-TUN "Keep the faith"	10	12.63%
働きマン	Hataraki Man	NTV	UVERworld "浮世CROSSING" (Ukiyo CROSSING)	11	12.0%
ドリーム☆アゲイン	Dream☆Again	NTV	Kobukuro "蒼く　優しく" (Aoku Yasashiku)	10	10.25%
3年B組金八先生 8	San nen B-gumi Kinpachi Sensei Series 8	TBS	Kaientai "いつか見た青い空" (Itsuka Mita Aoi Sora)	23	9.2%
ジョシデカ!-女子刑事-	Joshideka! -Joushi Keiji-	TBS	Aqua Timez "小さな掌" (Chiisana Tenohira)	10	9.1%
歌姫	Utahime	TBS	TOKIO "青春 (SEISYuN)"	11	8.3%
ハタチの恋人	Hatachi no Koibito	TBS	The Pipettes "恋ってカンジ!?" (Koitte Kanji!?)	10	8.14%
