Network	Origin of Programming	Language	Genre	Service
Aaj Tak	India	Hindi	News	Bell Fibe TV
Aaj Tak	India	Hindi	News	Cogeco Cable
Aaj Tak	India	Hindi	News	Rogers Cable
Aapka Colors	India	Hindi	General	Bell Fibe TV
Aapka Colors	India	Hindi	General	Bell Satellite TV
Aapka Colors	India	Hindi	General	Cogeco Cable
Aapka Colors	India	Hindi	General	Rogers Cable
Aapka Colors	India	Hindi	General	Shaw Cable
Aapka Colors	India	Hindi	General	Telus TV
Aastha	India	Hindi	Religious	Bell Fibe TV
Aastha	India	Hindi	Religious	Cogeco Cable
Aastha	India	Hindi	Religious	Rogers Cable
Aastha	India	Hindi	Religious	Telus TV
ABP News	India	Hindi	News	Bell Fibe TV
ABP News	India	Hindi	News	Cogeco Cable
ABP News	India	Hindi	News	Rogers Cable
ABP News	India	Hindi	News	Telus TV
Alpha ETC Punjabi	India	Punjabi	General	Bell Fibe TV
Alpha ETC Punjabi	India	Punjabi	General	Bell Satellite TV
Alpha ETC Punjabi	India	Punjabi	General	Cogeco Cable
Alpha ETC Punjabi	India	Punjabi	General	Rogers Cable
Alpha ETC Punjabi	India	Punjabi	General	Shaw Cable
Alpha ETC Punjabi	India	Punjabi	General	Telus TV
ARY Digital	Pakistan	Urdu	General	Bell Fibe TV
ARY Digital	Pakistan	Urdu	General	Bell Satellite TV
ARY Digital	Pakistan	Urdu	General	Rogers Cable
ARY QTV	Pakistan	Urdu	Religious	Bell Fibe TV
ARY QTV	Pakistan	Urdu	Religious	Rogers Cable
Asianet	India	Malayalam	General	Bell Fibe TV
Asianet	India	Malayalam	General	Rogers Cable
ATN	Canada	Hindi	General	Bell Fibe TV
ATN	Canada	Hindi	General	Bell Satellite TV
ATN	Canada	Hindi	General	Cogeco Cable
ATN	Canada	Hindi	General	Rogers Cable
ATN	Canada	Hindi	General	Shaw Cable
ATN	Canada	Hindi	General	Telus TV
ATN Bangla	Bangladesh	Bengali	General	Bell Fibe TV
ATN Bangla	Bangladesh	Bengali	General	ATN Gemini TV | Gemini TV India
ATN Cricket Plus	Canada	English	Cricket	ATN Gemini TV | Gemini TV India
ATN Cricket Plus	Canada	English	Cricket	Rogers Cable
ATN Cricket Plus	Canada	English	Cricket	Shaw Cable
ATN Cricket Plus	Canada	English	Cricket	Telus TV
ATN Gujarati	Canada	Gujarati	General	Bell Fibe TV
ATN Gujarati	Canada	Gujarati	General	Cogeco Cable
ATN Gujarati	Canada	Gujarati	General	Rogers Cable
ATN HD	Canada	Hindi	General	Bell Fibe TV
ATN HD	Canada	Hindi	General	Rogers Cable
ATN Sports	Canada	Hindi	Cricket	Bell Fibe TV
ATN Sports	Canada	Hindi	Cricket	Rogers Cable
ATN Urdu	Canada	Urdu	General	Bell Fibe TV
ATN Urdu	Canada	Urdu	General	Bell Satellite TV
ATN Urdu	Canada	Urdu	General	Cogeco Cable
ATN Urdu	Canada	Urdu	General	Rogers Cable
ATN Urdu	Canada	Urdu	General	Shaw Cable
ATN Urdu	Canada	Urdu	General	Telus TV
B4U Movies	India	Hindi	Movies	Bell Fibe TV
B4U Movies	India	Hindi	Movies	Bell Satellite TV
B4U Movies	India	Hindi	Movies	Cogeco Cable
B4U Movies	India	Hindi	Movies	Rogers Cable
B4U Movies	India	Hindi	Movies	Shaw Cable
B4U Movies	India	Hindi	Movies	Telus TV
B4U Music	India	Hindi	Music	Bell Fibe TV
B4U Music	India	Hindi	Music	Cogeco Cable
B4U Music	India	Hindi	Music	Rogers Cable
B4U Music	India	Hindi	Music	Telus TV
Big Magic	India	Hindi	General	Bell Fibe TV
Big Magic	India	Hindi	General	Bell Satellite TV
Big Magic	India	Hindi	General	Cogeco Cable
Big Magic	India	Hindi	General	Rogers Cable
Big Magic	India	Hindi	General	Telus TV
Bollywood Times	Canada	Hindi	Movies	Rogers Cable
Bollywood Times HD	Canada	Hindi	Movies	Bell Fibe TV
Bollywood Times HD	Canada	Hindi	Movies	Rogers Cable
Bollywood Times HD	Canada	Hindi	Movies	Telus TV
BritAsia TV	Canada	English	General	Bell Fibe TV
Channel i	Bangladesh	Bengali	General	Bell Fibe TV
Channel i	Bangladesh	Bengali	General	Cogeco Cable
Channel i	Bangladesh	Bengali	General	Rogers Cable
Channel Punjabi	Canada	Punjabi	General	Bell Fibe TV
Channel Punjabi	Canada	Punjabi	General	Rogers Cable
Channel Punjabi	Canada	Punjabi	General	Shaw Cable
Filmy	India	Hindi	Movies	Bell Fibe TV
Filmy	India	Hindi	Movies	Bell Satellite TV
Filmy	India	Hindi	Movies	Rogers Cable
Food Food	India	Hindi	Food	Bell Fibe TV
Food Food	India	Hindi	Food	Cogeco Cable
Food Food	India	Hindi	Food	Rogers Cable
Geo TV	Pakistan	Urdu	General	Bell Fibe TV
Geo TV	Pakistan	Urdu	General	Bell Satellite TV
Geo TV	Pakistan	Urdu	General	Cogeco Cable
Geo TV	Pakistan	Urdu	General	Rogers Cable
GET Punjabi	Canada	Punjabi	General	Bell Fibe TV
GET Punjabi	Canada	Punjabi	General	Cogeco Cable
GET Punjabi	Canada	Punjabi	General	Rogers Cable
GET Punjabi	Canada	Punjabi	General	Telus TV
Headlines Today	India	Hindi	News	Bell Fibe TV
Headlines Today	India	Hindi	News	Rogers Cable
Hum TV	Pakistan	Urdu	General	Bell Fibe TV
Hum TV	Pakistan	Urdu	General	Cogeco Cable
Hum TV	Pakistan	Urdu	General	Rogers Cable
Jaya TV	India	Tamil	General	Bell Fibe TV
Jaya TV	India	Tamil	General	Bell Satellite TV
Jaya TV	India	Tamil	General	Cogeco Cable
Jaya TV	India	Tamil	General	Rogers Cable
Jaya TV	India	Tamil	General	Shaw Cable
Jaya TV	India	Tamil	General	Telus TV
JUS Punjabi	Canada	Punjabi	General	Bell Fibe TV
JUS Punjabi	Canada	Punjabi	General	Rogers Cable
KTV	India	Tamil	Movies	Rogers Cable
Life OK	India	Hindi	General	Bell Fibe TV
Life OK	India	Hindi	General	Cogeco Cable
Life OK	India	Hindi	General	Rogers Cable
Life OK	India	Hindi	General	Telus TV
Mehndi TV	Canada	Hindi	Lifestyle	Rogers Cable
Mehndi TV HD	Canada	Hindi	Lifestyle	Bell Fibe TV
Mehndi TV HD	Canada	Hindi	Lifestyle	Rogers Cable
Mehndi TV HD	Canada	Hindi	Lifestyle	Telus TV
MH1	India	Punjabi	Music	Bell Fibe TV
MH1	India	Punjabi	Music	Cogeco Cable
MH1	India	Punjabi	Music	Rogers Cable
MH1	India	Punjabi	Music	Shaw Cable
MH1	India	Punjabi	Music	Telus TV
Movies OK	India	Hindi	Movies	Bell Fibe TV
Movies OK	India	Hindi	Movies	Cogeco Cable
Movies OK	India	Hindi	Movies	Rogers Cable
Movies OK	India	Hindi	Movies	Telus TV
NDTV 24x7	India	English	News	Bell Fibe TV
NDTV 24x7	India	English	News	Bell Satellite TV
NDTV 24x7	India	English	News	Cogeco Cable
NDTV 24x7	India	English	News	Rogers Cable
NDTV 24x7	India	English	News	Shaw Cable
NDTV 24x7	India	English	News	Telus TV
NDTV Good Times	India	English	Lifestyle	Bell Fibe TV
NDTV Good Times	India	English	Lifestyle	Cogeco Cable
NDTV Good Times	India	English	Lifestyle	Rogers Cable
NTV Bangla	Bangladesh	Bengali	General	Bell Fibe TV
NTV Bangla	Bangladesh	Bengali	General	Cogeco Cable
NTV Bangla	Bangladesh	Bengali	General	Rogers Cable
PTC Punjabi	India	Punjabi	General	Bell Fibe TV
PTC Punjabi	India	Punjabi	General	Bell Satellite TV
PTC Punjabi	India	Punjabi	General	Rogers Cable
PTC Punjabi	India	Punjabi	General	Shaw Cable
SAB	India	Hindi	General	Bell Fibe TV
SAB	India	Hindi	General	Cogeco Cable
SAB	India	Hindi	General	Rogers Cable
SAB	India	Hindi	General	Shaw Cable
SAB	India	Hindi	General	Telus TV
Sahara One	India	Hindi	General	Bell Fibe TV
Sahara One	India	Hindi	General	Rogers Cable
SET Max	India	Hindi	Movies	Bell Fibe TV
SET Max	India	Hindi	Movies	Cogeco Cable
SET Max	India	Hindi	Movies	Rogers Cable
SET Max	India	Hindi	Movies	Telus TV
Sikh Channel	Canada	Punjabi	Religious	Bell Fibe TV
Sony Aath	India	Bengali	Movies	Bell Fibe TV
Sony Aath	India	Bengali	Movies	Cogeco Cable
Sony Aath	India	Bengali	Movies	Rogers Cable
Sony Entertainment Television Asia	India	Hindi	General	Bell Fibe TV
Sony Entertainment Television Asia	India	Hindi	General	Bell Satellite TV
Sony Entertainment Television Asia	India	Hindi	General	Cogeco Cable
Sony Entertainment Television Asia	India	Hindi	General	Rogers Cable
Sony Entertainment Television Asia	India	Hindi	General	Shaw Cable
Sony Entertainment Television Asia	India	Hindi	General	Telus TV
Sony Mix	India	Hindi	Music	Bell Fibe TV
SSTV	Canada	Punjabi	General	Bell Fibe TV
SSTV	Canada	Punjabi	General	Cogeco Cable
SSTV	Canada	Punjabi	General	Rogers Cable
STAR India Gold	India	Hindi	Movies	Bell Fibe TV
STAR India Gold	India	Hindi	Movies	Cogeco Cable
STAR India Gold	India	Hindi	Movies	Rogers Cable
STAR India Gold	India	Hindi	Movies	Telus TV
STAR Jalsha	India	Bengali	General	Bell Fibe TV
STAR Utsav	India	Hindi	General	Bell Fibe TV
Sun TV	India	Tamil	General	Bell Fibe TV
Sun TV	India	Tamil	General	Rogers Cable
Tamil One	Canada	Tamil	General	Bell Fibe TV
Tamil One	Canada	Tamil	General	Rogers Cable
Tamil Vision	Canada	Tamil	General	Bell Fibe TV
