Driver	Constructor	Laps	Time/Retired	Grid
Mika Häkkinen	McLaren - Mercedes	77	1:45:33.869	3
Michael Schumacher	Ferrari	77	+7.917	1
David Coulthard	McLaren - Mercedes	77	+8.455	2
Rubens Barrichello	Ferrari	77	+44.157	5
Ralf Schumacher	Williams - BMW	77	+50.437	4
Heinz-Harald Frentzen	Jordan - Mugen-Honda	77	+1:08.099	6
Jarno Trulli	Jordan - Mugen-Honda	76	+1 Lap	12
Eddie Irvine	Jaguar - Cosworth	76	+1 Lap	10
Jenson Button	Williams - BMW	76	+1 Lap	8
Mika Salo	Sauber - Petronas	76	+1 Lap	9
Alexander Wurz	Benetton - Playlife	76	+1 Lap	11
Jacques Villeneuve	BAR - Honda	75	+2 Laps	16
Jos Verstappen	Arrows - Supertec	75	+2 Laps	20
Ricardo Zonta	BAR - Honda	75	+2 Laps	18
Marc Gené	Minardi - Fondmetal	74	+3 Laps	21
Pedro de la Rosa	Arrows - Supertec	73	+4 Laps	15
Gastón Mazzacane	Minardi - Fondmetal	68	Engine	22
Johnny Herbert	Jaguar - Cosworth	67	Gearbox	17
Pedro Diniz	Sauber - Petronas	62	Transmission	13
Giancarlo Fisichella	Benetton - Playlife	31	Brakes	7
Nick Heidfeld	Prost - Peugeot	22	Electrical	19
Jean Alesi	Prost - Peugeot	11	Suspension	14
