Week	Date	Opponent	Result	Game site	Record	Attendance
1	September 12, 1999	Detroit Lions	L 20-28	Kingdome	0-1	66,238
2	September 19, 1999	at Chicago Bears	W 14-13	Soldier Field	1-1	66,944
3	September 26, 1999	at Pittsburgh Steelers	W 29-10	Three Rivers Stadium	2-1	57,881
4	October 3, 1999	Oakland Raiders	W 22-21	Kingdome	3-1	66,400
5	Bye	Bye	Bye	Bye	Bye	Bye
6	October 17, 1999	at San Diego Chargers	L 10-13	Qualcomm Stadium	3-2	59,432
7	October 24, 1999	Buffalo Bills	W 26-16	Kingdome	4-2	66,301
8	November 1, 1999	at Green Bay Packers	W 27-7	Lambeau Field	5-2	59,869
9	November 7, 1999	Cincinnati Bengals	W 37-20	Kingdome	6-2	66,303
10	November 14, 1999	Denver Broncos	W 20-17	Kingdome	7-2	66,314
11	November 21, 1999	at Kansas City Chiefs	W 31-19	Arrowhead Stadium	8-2	78,714
12	November 28, 1999	Tampa Bay Buccaneers	L 3-16	Kingdome	8-3	66,314
13	December 5, 1999	at Oakland Raiders	L 21-30	Network Associates Coliseum	8-4	44,716
14	December 12, 1999	San Diego Chargers	L 16-19	Kingdome	8-5	66,318
15	December 19, 1999	at Denver Broncos	L 30-36 OT	Mile High Stadium	8-6	65,987
16	December 26, 1999	Kansas City Chiefs	W 23-14	Kingdome	9-6	66,332
17	January 2, 2000	at New York Jets	L 9-19	The Meadowlands	9-7	78,154
