City	Country	IATA	ICAO	Airport
Bacolod	Philippines	BCD	RPVB	Bacolod-Silay International Airport
Basco	Philippines	BSO	RPUO	Basco Airport
Busuanga	Philippines	USU	RPVV	Francisco B. Reyes Airport
Butuan	Philippines	BXU	RPME	Bancasi Airport
Cagayan de Oro	Philippines	CGY	RPML	Laguindingan International Airport
Calbayog	Philippines	CYP	RPVC	Calbayog Airport
Catarman	Philippines	CRM	RPVF	Catarman National Airport
Caticlan	Philippines	MPH	RPVE	Godofredo P. Ramos Airport
Cebu	Philippines	CEB	RPVM	Mactan-Cebu International Airport
Cotabato	Philippines	CBO	RPMC	Awang Airport
Davao	Philippines	DVO	RPMD	Francisco Bangoy International Airport
Dipolog	Philippines	DPL	RPMG	Dipolog Airport
Dubai [begins November 6, 2013]	United Arab Emirates	DXB	OMDB	Dubai International Airport
Dumaguete	Philippines	DGT	RPVD	Sibulan Airport
General Santos	Philippines	GES	RPMR	General Santos International Airport
Hangzhou	China	HGH	ZSHC	Hangzhou Xiaoshan International Airport
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport
Iloilo	Philippines	ILO	RPVI	Iloilo International Airport
Jolo	Philippines	JOL	RPMJ	Jolo Airport
Kalibo	Philippines	KLO	RPVK	Kalibo International Airport
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Laoag	Philippines	LAO	RPLI	Laoag International Airport
Legazpi	Philippines	LGP	RPLP	Legazpi Airport
Manila	Philippines	MNL	RPLL	Ninoy Aquino International Airport
Masbate	Philippines	MBT	RPVJ	Moises R. Espinosa Airport
Naga	Philippines	WNP	RPUN	Naga Airport
Ozamiz	Philippines	OZC	RPMO	Labo Airport
Puerto Princesa	Philippines	PPS	RPVP	Puerto Princesa International Airport
Roxas	Philippines	RXS	RPVP	Roxas Airport
Shanghai	China	PVG	ZSPD	Shanghai Pudong International Airport
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport
Surigao	Philippines	SUG	RPMS	Surigao Airport
Tacloban	Philippines	TAC	RPVA	Daniel Z. Romualdez Airport
Tagbilaran	Philippines	TAG	RPVT	Tagbilaran Airport
Tawi-Tawi	Philippines	SGS	RPMN	Sanga-Sanga Airport
Tuguegarao	Philippines	TUG	RPUT	Tuguegarao Airport
Zamboanga	Philippines	ZAM	RPMZ	Zamboanga International Airport
