No. in series	No. in season	Title	Directed by	Written by	Original air date	Production	U.S. viewers (in millions)
11	1	"We Don't Need Another Hero"	Michael Zinberg	Janet Tamaro	July11,2011	2M5601	6.38
12	2	"Living Proof"	Bethany Rooney	Dee Johnson	July18,2011	2M5602	6.39
13	3	"Sailor Man"	Michael Zinberg	Joel Fields	July25,2011	2M5603	6.04
14	4	"Brown Eyed Girl"	Mark Haber	Julie Hébert	August1,2011	2M5607	6.45
15	5	"Don't Hate the Player"	Holly Dale	David Gould & Janet Tamaro	August8,2011	2M5604	6.46
16	6	"Rebel Without a Pause"	Nelson McCormick	Elizabeth Benjamin & Janet Tamaro	August15,2011	2M5605	6.74
17	7	"Bloodlines"	Michael Zinberg	Elizabeth Benjamin & Dee Johnson	August22,2011	2M5606	6.27
18	8	"My Own Worst Enemy"	Terrence O'Hara	Joel Fields & Emilia Serrano	August29,2011	2M5608	6.71
19	9	"Gone Daddy Gone"	Fred Toye	David Gould & Dee Johnson	September5,2011	2M5609	6.69
20	10	"Remember Me"	Randy Zisk	David J. North & Janet Tamaro	September12,2011	2M5610	5.63
21	11	"Can I Get A Witness?"	Andy Wolk	Janet Tamaro & Elizabeth Benjamin	November28,2011	2M5611	4.78
22	12	"He Ain't Heavy, He's My Brother"	Steve Robin	David Gould & Dee Johnson	December5,2011	2M5612	3.86
23	13	"Seventeen Ain't So Sweet"	Rod Holcomb	Shelley Meals & Darin Goldberg	December12,2011	2M5613	4.91
