Species	Strain	Type	Base Pairs	Genes	Reference
Anaeromyxobacter dehalogenans	2CP-C	delta-epsilon	5,013,479	4,346	Unpublished
Bdellovibrio bacteriovorus	HD100	delta-epsilon	3,782,950	3,583	2004
Campylobacter jejuni	NCTC11168	delta-epsilon	1,641,481	1,643	2000
Campylobacter jejuni	RM1221	delta-epsilon	1,777,831	1,838	2005
Desulfotalea psychrophila	LSv54	delta-epsilon	3,523,383	3,118	Unpublished
Desulfovibrio desulfuricans	G20	delta-epsilon	3,730,232	3,775	Unpublished
Desulfovibrio vulgaris	Hildenborough	delta-epsilon	3,570,858	3,379	2004
Geobacter metallireducens	GS15	delta-epsilon	3,997,420	3,519	Unpublished
Geobacter sulfurreducens	PCA	delta-epsilon	3,814,139	3,447	2003
Helicobacter hepaticus	ATCC51449	delta-epsilon	1,799,146	1,875	2003
Helicobacter pylori	26695	delta-epsilon	1,667,867	1,566	1997
Helicobacter pylori	HPAG1	delta-epsilon	1,596,366	1,536	Unpublished
Helicobacter pylori	J99	delta-epsilon	1,643,831	1,491	1999
Lawsonia intracellularis	PHEMN1-00	delta-epsilon	1,719,014	1,344	Unpublished
Unspecified	Unspecified	delta-epsilon	39,794	24	Unpublished
Unspecified	Unspecified	delta-epsilon	194,553	104	Unpublished
Unspecified	Unspecified	delta-epsilon	1,457,619	1,187	Unpublished
Myxococcus xanthus	DK1622	delta-epsilon	9,139,763	7,331	Unpublished
Pelobacter carbinolicus	DSM2380	delta-epsilon	3,665,893	3,119	Unpublished
Sulfurimonas denitrificans	DSM1251	delta-epsilon	2,201,561	2,104	2007
Syntrophus aciditrophicus	SB	delta-epsilon	3,179,300	3,168	Unpublished
Thiomicrospira denitrificans	ATCC33889	delta-epsilon	2,201,561	2,097	Unpublished
Wolinella succino	DSMZ1740	delta-epsilon	2,110,355	2,044	2003
