Name	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	N/H/L Racing	71	1:45:21.997	1	33
Bruno Junqueira	Dale Coyne Racing	71	+13.7 secs	4	27
Graham Rahal	N/H/L Racing	71	+14.5 secs	13	26
Will Power	Team Australia	71	+15.1 secs	2	24
Justin Wilson	RSPORTS	71	+16.0 secs	5	21
Oriol Servià	Forsythe Racing	71	+17.2 secs	10	19
Robert Doornbos	Minardi Team USA	71	+18.4 secs	3	17
Neel Jani	PKV Racing	71	+19.1 secs	9	15
Alex Tagliani	RSPORTS	71	+23.8 secs	6	13
Paul Tracy	Forsythe Racing	71	+24.5 secs	7	11
Katherine Legge	Dale Coyne Racing	71	+28.8 secs	14	10
Simon Pagenaud	Team Australia	71	+33.2 secs	8	9
Jan Heylen	Conquest Racing	71	+1:12.1	11	8
Alex Figge	Pacific Coast Motorsports	70	+ 1 Lap	17	7
Ryan Dalziel	Pacific Coast Motorsports	67	+ 4 Laps	16	6
Tristan Gommendy	PKV Racing	60	Mechanical	15	5
Mario Domínguez	Minardi Team USA	47	Tyre	12	4
