Dates	Tournament	Prize fund ( ￥ )	Winner	OWGR pts
Apr 12-15	Token Homemate Cup	110,000,000	Yui Ueda (1)	16
Apr 19-22	Tsuruya Open	100,000,000	Brendan Jones (6)	16
Apr 26-29	The Crowns	120,000,000	Hirofumi Miyase (7)	18
May 10-13	Japan PGA Championship	130,000,000	Toshimitsu Izawa (16)	16
May 17-20	Munsingwear Open KSB Cup	100,000,000	Ryo Ishikawa (amateur)	16
May 24-27	Mitsubishi Diamond Cup Golf	110,000,000	Tetsuji Hiratsuka (4)	16
May 31-Jun 3	JCB Classic	100,000,000	Tomohiro Kondo (3)	16
Jun 21-24	Gateway to the Open Mizuno Open Yomiuri Classic	130,000,000	Lee Dong-hwan (1)	16
Jun 28-Jul 1	Japan Golf Tour Championship	150,000,000	Shingo Katayama (22)	16
Jul 5-8	Woodone Open Hiroshima	100,000,000	Toru Taniguchi (12)	16
Jul 12-15	Nagashima Shigeo Invitational Sega Sammy Cup	150,000,000	Toru Taniguchi (13)	16
Aug 2-5	Sun Chlorella Classic	150,000,000	Jun Kikuchi (1)	16
Aug 23-26	KBC Augusta	100,000,000	Katsumasa Miyamoto (6)	16
Aug 30-Sep 2	Fujisankei Classic	150,000,000	Hideto Tanihara (5)	16
Sep 6-9	Suntory Open	100,000,000	Hideto Tanihara (6)	16
Sep 13-16	ANA Open	100,000,000	Norio Shinozaki (1)	16
Sep 27-30	Coca-Cola Tokai Classic	120,000,000	Camilo Villegas (n/a)	16
Oct 11-14	Japan Open Golf Championship	200,000,000	Toru Taniguchi (14)	32
Oct 18-21	Bridgestone Open	110,000,000	Shingo Katayama (23)	16
Oct 25-28	ABC Championship	120,000,000	Frankie Miñoza (7)	18
Nov 8-11	Mitsui Sumitomo VISA Taiheiyo Masters	150,000,000	Brendan Jones (7)	26
Nov 15-18	Dunlop Phoenix	200,000,000	Ian Poulter (n/a)	36
Nov 22-25	Casio World Open	140,000,000	Taichi Teshima (6)	20
Nov 29-Dec 2	Golf Nippon Series JT Cup	100,000,000	Brendan Jones (8)	20
