Rider	Manufacturer	Laps	Time/Retired	Grid
Valentino Rossi	Honda	25	44:20.679	4
Tohru Ukawa	Honda	25	+0.880	2
Carlos Checa	Yamaha	25	+8.531	7
Max Biaggi	Yamaha	25	+11.918	1
Alex Barros	Honda	25	+22.382	9
Loris Capirossi	Honda	25	+30.096	5
Kenny Roberts, Jr.	Suzuki	25	+31.525	8
Daijiro Kato	Honda	25	+33.912	15
Olivier Jacque	Yamaha	25	+36.847	11
John Hopkins	Yamaha	25	+51.580	6
Akira Ryo	Suzuki	25	+53.303	14
Jeremy McWilliams	Proton KR	25	+57.585	12
Tetsuya Harada	Honda	25	+1:01.823	20
Régis Laconi	Aprilia	25	+1:03.002	16
Pere Riba	Yamaha	25	+1:04.723	21
Norifumi Abe	Yamaha	23	+2 laps	18
Alex Hofmann	Yamaha	24	Retirement	19
Sete Gibernau	Suzuki	6	Accident	3
Nobuatsu Aoki	Proton KR	2	Retirement	17
Jurgen vd Goorbergh	Honda	0	Accident	14
Shinya Nakano	Yamaha	0	Accident	10
