Rank	Title	Studio	Director(s)	Worldwide gross
1.	Harry Potter and the Philosopher's Stone	Warner Bros.	Chris Columbus	$974,733,550
2.	The Lord of the Rings: The Fellowship of the Ring	New Line Cinema	Peter Jackson	$870,761,744
3.	Monsters, Inc.	Disney / Pixar	Pete Docter and Lee Unkrich	$525,366,597
4.	Shrek	DreamWorks Animation	Andrew Adamson and Vicky Jenson	$484,409,218
5.	Ocean's Eleven	Warner Bros.	Steven Soderbergh	$450,717,150
6.	Pearl Harbor	Touchstone Pictures	Michael Bay	$449,220,945
7.	The Mummy Returns	Universal Studios / Amblin Entertainment	Stephen Sommers	$433,013,274
8.	Jurassic Park III	Universal Studios	Joe Johnston	$368,780,809
9.	Planet of the Apes	20th Century Fox	Tim Burton	$362,211,740
10.	Hannibal	MGM / Universal Studios	Ridley Scott	$351,692,268
11.	Rush Hour 2	New Line Cinema	Brett Ratner	$347,325,802
12.	A Beautiful Mind	Universal Studios / DreamWorks	Ron Howard	$313,542,341
13.	American Pie 2	Universal Studios	J. B. Rogers	$287,553,595
14.	Bridget Jones's Diary	StudioCanal / Working Title	Sharon Maguire	$281,929,795
15.	Lara Croft: Tomb Raider	Paramount Pictures	Simon West	$274,703,340
16.	A.I. Artificial Intelligence	DreamWorks / Amblin Entertainment	Steven Spielberg	$235,926,552
17.	The Others	Dimension Films / Warner Bros.	Alejandro Amenábar	$218,947,037
18.	The Fast and the Furious	Universal Studios	Rob Cohen	$207,283,925
19.	Vanilla Sky	Paramount Pictures	Cameron Crowe	$203,388,341
20.	Cats & Dogs	Warner Bros.	Lawrence Guterman	$200,687,492
