Race Name	Circuit	City/Location	Date	Pole position	Fastest lap	Winning driver	Winning team	Report
Marlboro Grand Prix of Miami Presented by Toyota	Bicentennial Park	Miami, Florida	March 5	Michael Andretti	Scott Pruett	Jacques Villeneuve	Team Green	Report
Australian IndyCar Grand Prix	Surfers Paradise Street Circuit	Surfers Paradise , Australia	March 19	Michael Andretti	Michael Andretti	Paul Tracy	Newman/Haas Racing	Report
Slick 50 200	Phoenix International Raceway	Phoenix, Arizona	April 2	Bryan Herta	Emerson Fittipaldi	Robby Gordon	Walker Racing	Report
Toyota Grand Prix of Long Beach	Streets of Long Beach	Long Beach, California	April 9	Michael Andretti	Michael Andretti	Al Unser, Jr.	Marlboro Team Penske	Report
Bosch Spark Plug Grand Prix	Nazareth Speedway	Nazareth, Pennsylvania	April 23	Robby Gordon	Emerson Fittipaldi	Emerson Fittipaldi	Marlboro Team Penske	Report
79th Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	May 28	Scott Brayton	Scott Goodyear	Jacques Villeneuve	Team Green	Report
Miller Genuine Draft 200	Milwaukee Mile	West Allis, Wisconsin	June 4	Teo Fabi	Teo Fabi	Paul Tracy	Newman/Haas Racing	Report
ITT Automotive Grand Prix of Detroit	The Raceway on Belle Isle Park	Detroit, Michigan	June 11	Robby Gordon	Michael Andretti	Robby Gordon	Walker Racing	Report
Budweiser/G. I. Joe's 200	Portland International Raceway	Portland, Oregon	June 25	Jacques Villeneuve	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
Texaco/Havoline 200	Road America	Elkhart Lake, Wisconsin	July 9	Jacques Villeneuve	Jacques Villeneuve	Jacques Villeneuve	Team Green	Report
Molson Indy Toronto	Exhibition Place	Toronto, Ontario	July 16	Jacques Villeneuve	Bobby Rahal	Michael Andretti	Newman/Haas Racing	Report
Budweiser Grand Prix of Cleveland	Cleveland Burke Lakefront Airport	Cleveland, Ohio	July 23	Gil de Ferran	Jacques Villeneuve	Jacques Villeneuve	Team Green	Report
Marlboro 500	Michigan International Speedway	Brooklyn, Michigan	July 30	Parker Johnstone	Parker Johnstone	Scott Pruett	Patrick Racing	Report
Miller Genuine Draft 200	Mid-Ohio Sports Car Course	Lexington, Ohio	August 13	Jacques Villeneuve	Al Unser, Jr.	Al Unser, Jr.	Marlboro Team Penske	Report
New England 200	New Hampshire Motor Speedway	Loudon, New Hampshire	August 20	André Ribeiro	Teo Fabi	André Ribeiro	Tasman Motorsports	Report
Molson Indy Vancouver	Streets of Vancouver	Vancouver, British Columbia	September 3	Jacques Villeneuve	Bobby Rahal	Al Unser, Jr.	Marlboro Team Penske	Report
Toyota Grand Prix of Monterey	Mazda Raceway Laguna Seca	Monterey, California	September 10	Jacques Villeneuve	Gil de Ferran	Gil de Ferran	Jim Hall Racing	Report
