Outcome	Date	Championship	Surface	Opponent	Score
Winner	4 August 1986	Hilversum	Clay	Jakob Hlasek	6–1, 6–3, 6–3
Winner	11 July 1988	Boston	Clay	Lawson Duncan	6–2, 6–2
Winner	1 August 1988	Bordeaux	Clay	Ronald Agénor	6–3, 6–3
Winner	15 August 1988	Prague	Clay	Guillermo Pérez-Roldán	6–4, 5–7, 6–2
Runner-up	19 September 1988	Barcelona	Clay	Kent Carlsson	3–6, 3–6, 6–3, 1–6
Winner	26 September 1988	Bari	Clay	Marcelo Filippini	2–6, 6–1, 7–5
Runner-up	24 October 1988	Vienna	Carpet	Horst Skoff	6–4, 3–6, 4–6, 2–6
Runner-up	3 April 1989	Miami	Hard	Ivan Lendl	W/O
Winner	8 January 1990	Adelaide	Hard	Jimmy Arias	3–6, 6–2, 7–5
Winner	12 March 1990	Casablanca	Clay	Guillermo Pérez-Roldán	6–1, 6–7 (6–8) , 6–2
Runner-up	30 April 1990	Monte Carlo	Clay	Andrei Chesnokov	5–7, 3–6, 3–6
Runner-up	7 May 1990	Munich	Clay	Karel Nováček	4–6, 2–6
Winner	21 May 1990	Rome	Clay	Andrei Chesnokov	6–1, 6–3, 6–1
Winner	17 June 1991	Florence	Clay	Horst Skoff	6–2, 6–7 (2–7) , 6–2
Winner	16 September 1991	Geneva	Clay	Horst Skoff	6–2, 6–4
Winner	27 April 1992	Monte Carlo	Clay	Aaron Krickstein	6–3, 6–1, 6–3
Winner	15 June 1992	Florence	Clay	Renzo Furlan	6–3, 1–6, 6–1
Winner	31 August 1992	Umag	Clay	Franco Davín	6–1, 4–6, 6–4
Runner-up	18 January 1993	Sydney	Hard	Pete Sampras	6–7 (7–9) , 1–6
Winner	1 March 1993	Mexico City	Clay	Carlos Costa	6–2, 6–4
Winner	14 June 1993	Florence	Clay	Jordi Burillo	6–1, 7–5
Winner	21 June 1993	Genova	Clay	Magnus Gustafsson	7–6 (7–3) , 6–4
Winner	9 August 1993	Kitzbühel	Clay	Javier Sánchez	6–3, 7–5, 6–4
Winner	16 August 1993	San Marino	Clay	Renzo Furlan	7–5, 7–5
Winner	30 August 1993	Umag	Clay	Alberto Berasategui	7–5, 3–6, 6–3
Winner	3 October 1993	Palermo	Clay	Sergi Bruguera	7–6 (7–2) , 7–5
Runner-up	25 October 1993	Vienna	Carpet	Goran Ivanišević	6–4, 4–6, 4–6, 6–7 (3–7)
Winner	28 February 1994	Mexico City	Clay	Roberto Jabali	6–3, 6–1
Winner	2 May 1994	Madrid	Clay	Sergi Bruguera	6–2, 3–6, 6–4, 7–5
Winner	20 June 1994	Sankt Pölten	Clay	Tomás Carbonell	4–6, 6–2, 6–4
Winner	6 March 1995	Mexico City	Clay	Fernando Meligeni	7–6 (7–4) , 7–5
Winner	10 April 1995	Estoril	Clay	Albert Costa	6–4, 6–2
Winner	17 April 1995	Barcelona	Clay	Magnus Larsson	6–2, 6–1, 6–4
Winner	1 May 1995	Monte Carlo	Clay	Boris Becker	4–6, 5–7, 6–1, 7–6 (8–6) , 6–0
Winner	22 May 1995	Rome	Clay	Sergi Bruguera	3–6, 7–6 (7–5) , 6–2, 6–3
Winner	12 June 1995	French Open	Clay	Michael Chang	7–5, 6–2, 6–4
Winner	26 June 1995	Sankt Pölten	Clay	Bohdan Ulihrach	6–3, 3–6, 6–1
Winner	24 July 1995	Stuttgart Outdoor	Clay	Jan Apell	6–2, 6–2
Runner-up	7 August 1995	Kitzbühel	Clay	Albert Costa	6–4, 4–6, 6–7 (3–7) , 6–2, 4–6
Winner	14 August 1995	San Marino	Clay	Andrea Gaudenzi	6–2, 6–0
Winner	28 August 1995	Umag	Clay	Carlos Costa	3–6, 7–6 (7–5) , 6–4
Winner	18 September 1995	Bucharest	Clay	Gilbert Schaller	6–4, 6–3
Runner-up	23 October 1995	Vienna	Carpet	Filip Dewulf	5–7, 2–6, 6–1, 5–7
Winner	30 October 1995	Essen	Carpet	MaliVai Washington	7–6 (8–6) , 2–6, 6–3, 6–4
Winner	11 March 1996	Mexico City	Clay	Jiří Novák	7–6 (7–3) , 6–2
Winner	15 April 1996	Estoril	Clay	Andrea Gaudenzi	7–6 (7–4) , 6–4
Winner	22 April 1996	Barcelona	Clay	Marcelo Ríos	6–3, 4–6, 6–4, 6–1
Winner	29 April 1996	Monte Carlo	Clay	Albert Costa	6–3, 5–7, 4–6, 6–3, 6–2
Winner	20 May 1996	Rome	Clay	Richard Krajicek	6–2, 6–4, 3–6, 6–3
Winner	22 July 1996	Stuttgart Outdoor	Clay	Yevgeny Kafelnikov	6–2, 6–2, 6–4
Winner	16 September 1996	Bogotá	Clay	Nicolás Lapentti	6–7 (6–8) , 6–2, 6–3
Winner	17 February 1997	Dubai	Hard	Goran Ivanišević	7–5, 7–6 (7–3)
Winner	31 March 1997	Miami	Hard	Sergi Bruguera	7–6 (8–6) , 6–3, 6–1
Runner-up	11 August 1997	Cincinnati	Hard	Pete Sampras	3–6, 4–6
Runner-up	13 April 1998	Estoril	Clay	Alberto Berasategui	6–3, 1–6, 3–6
