Pick	Player	Team	Position	School
31	J. P. Howell	Kansas City Royals	LHP	University of Texas at Austin
32	Zach Jackson	Toronto Blue Jays	LHP	Texas A&M University
33	Justin Orenduff	Los Angeles Dodgers	RHP	Virginia Commonwealth University
34	Tyler Lumsden	Chicago White Sox	LHP	Clemson University
35	Matt Fox	Minnesota Twins	RHP	University of Central Florida
36	Danny Putnam	Oakland Athletics	OF	Stanford University
37	Jon Poterson	New York Yankees	C	Chandler High School (AZ)
38	Gio Gonzalez	Chicago White Sox	LHP	Monsignor Edward Pace High School
39	Jay Rainville	Minnesota Twins	RHP	Bishop Hendricken High School
40	Huston Street	Oakland Athletics	RHP	University of Texas at Austin
41	Jeff Marquez	New York Yankees	RHP	Sacramento City College
