Date	Visitor	Score	Home	Decision	Attendance	Record
November 2	Minnesota	3 – 1	Philadelphia	Favell	4,203	3–4–1
November 4	Philadelphia	4 – 1	Montreal	Parent	14,822	4–4–1
November 5	Montreal	1 – 1	Philadelphia	Parent	9,188	4–4–2
November 8	Philadelphia	1 – 1	Pittsburgh	Parent	4,719	4–4–3
November 12	Philadelphia	4 – 2	Boston	Parent	13,909	5–4–3
November 15	Philadelphia	0 – 5	Pittsburgh	Parent	6,876	5–5–3
November 16	New York	2 – 3	Philadelphia	Favell	11,276	6–5–3
November 18	Philadelphia	2 – 2	Minnesota	Favell	10,466	6–5–4
November 19	St. Louis	2 – 3	Philadelphia	Parent	7,102	7–5–4
November 22	Detroit	2 – 4	Philadelphia	Parent	12,086	8–5–4
November 25	Philadelphia	2 – 1	St. Louis	Parent	8,570	9–5–4
November 26	Los Angeles	2 – 7	Philadelphia	Parent	11,420	10–5–4
November 29	Philadelphia	1 – 3	Chicago	Parent	17,200	10–6–4
November 30	California	3 – 1	Philadelphia	Parent	3,167	10–7–4
