City	Country	IATA	ICAO	Airport
Amsterdam	Netherlands	AMS	EHAM	Amsterdam Airport Schiphol *
Beauvais	France	BVA	LFOB	Beauvais–Tillé Airport *
Cologne / Bonn	Germany	CGN	EDDK	Cologne Bonn Airport *
Dortmund	Germany	DTM	EDLW	Dortmund Airport *
Dubrovnik	Croatia	DBV	LDDU	Dubrovnik Airport *
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport *
Gdańsk	Poland	GDN	EPGD	Gdańsk Lech Wałęsa Airport *
Heringsdorf	Germany	HDF	EDAH	Heringsdorf Airport *
Katowice	Poland	KTW	EPKT	Katowice International Airport *
Kraków	Poland	KRK	EPKK	John Paul II International Airport Kraków-Balice *
Lublin	Poland	LUZ	EPLB	Lublin Airport *
Munich	Germany	MUC	EDDM	Munich Airport *
Poznań	Poland	POZ	EPPO	Poznań-Ławica Airport *
Riga	Latvia	RIX	EVRA	Riga International Airport *
Rome	Italy	FCO	LIRF	Leonardo da Vinci–Fiumicino Airport *
Rzeszów	Poland	RZE	EPRZ	Rzeszów-Jasionka Airport *
Salzburg	Austria	SZG	LOWS	Salzburg Airport *
Split	Croatia	SPU	LDSP	Split Airport *
Szczecin	Poland	SZZ	EPSC	Szczecin-Goleniów "Solidarność" Airport *
Tallinn	Estonia	TLL	EETL	Tallinn Airport *
Vienna	Austria	VIE	LOWW	Vienna International Airport *
Vilnius	Lithuania	VNO	EYVI	Vilnius International Airport *
Warsaw	Poland	WAW	EPWA	Warsaw Frédéric Chopin Airport † *
Wrocław	Poland	WRO	EPWR	Copernicus Airport Wrocław *
Zadar	Croatia	ZAD	LDZD	Zadar Airport *
Zürich	Switzerland	ZRH	LSZH	Zürich Airport *
