Name	Position	Height	Weight	Year	Home Town
Sean Alvarado	Center	6-10	210	Senior(RS)	Washington, D.C.
Scooter Barry	Guard	6-3	175	Junior	Concord, California
Marvin Branch	Center	6-10	225	Junior	Detroit, Michigan
Jeff Gueldner	Guard/Forward	6-5	180	Sophomore	Charleston, Illinois
Keith Harris	Forward	6-6	205	Sophomore	Santa Monica, California
Otis Livingston	Guard	6-0	150	Junior	San Pedro, California
Mike Maddox	Forward	6-8	195	Freshman	Reseda, California
Danny Manning	Forward/Center	6-10	230	Senior	Lawrence, Kansas
Archie Marshall	Forward	6-7	190	Senior	Tulsa, Oklahoma
Mike Masucci	Center	6-10	200	Freshman	Grandview, Missouri
Marvin Mattox	Forward	6-4	210	Senior	Pomona, California
Lincoln Minor	Guard	6-3	165	Junior	Houston, Texas
Milt Newton	Guard/Forward	6-5	185	Junior	Washington, D.C.
Clint Normore	Guard	6-0	200	Junior	Wichita, Kansas
Chris Piper	Forward	6-8	200	Senior	Lawrence, Kansas
Kevin Pritchard	Guard	6-3	170	Sophomore	Tulsa, Oklahoma
Mark Randall	Forward	6-9	200	Sophomore(RS)	Englewood, Colorado
