Game	Date	Team	Score	High points	Location Attendance	Record
25	December 1	Philadelphia	L 109–133	Bob Rule (29)	Boston , Massachusetts	7–18
26	December 3	St. Louis	L 109–123	Tom Meschery (23)	Seattle Center Coliseum 7,938	7–19
27	December 5	@ San Francisco	L 121–133	Walt Hazzard (29)	Oakland-Alameda County Coliseum Arena 2,306	7–20
28	December 8	Chicago	L 114–115	Walt Hazzard , Bob Rule (21)	Seattle Center Coliseum 3,835	7–21
29	December 10	L. A. Lakers	W 133–123	Al Tucker (35)	Seattle Center Coliseum 7,006	8–21
30	December 12	Philadelphia	L 107–118	Al Tucker (27)	New York City , New York	8–22
31	December 15	@ Chicago	W 122–115	Walt Hazzard (36)	Chicago Stadium 1,686	9–22
32	December 17	Philadelphia	L 124–139	Rod Thorn (22)	Seattle Center Coliseum 11,294	9–23
33	December 18	Detroit	L 122–140	Rod Thorn (29)	Tacoma , Washington 1,658	9–24
34	December 19	Boston	L 114–118	Walt Hazzard (37)	Seattle Center Coliseum 6,889	9–25
35	December 20	Philadelphia	L 122–160	Walt Hazzard (20)	Seattle Center Coliseum 7,714	9–26
36	December 22	New York	W 120–108	Al Tucker (31)	Seattle Center Coliseum 8,515	10–26
37	December 23	@ San Francisco	L 124–131	Walt Hazzard (19)	Oakland-Alameda County Coliseum Arena 3,862	10–27
38	December 24	San Francisco	L 113–127	Walt Hazzard (20)	Seattle Center Coliseum 6,226	10–28
39	December 25	@ Cincinnati	L 112–118	Rod Thorn (26)	Cincinnati Gardens 3,323	10–29
40	December 26	New York	W 137–135	Walt Hazzard (37)	Philadelphia , Pennsylvania	11–29
41	December 28	San Diego	L 125–143	Walt Hazzard (45)	Seattle Center Coliseum 5,889	11–30
42	December 31	San Francisco	L 124–126	Walt Hazzard (26)	Seattle Center Coliseum 4,591	11–31
