Builder	Model	Length (ft/m)	Order Year	Fuel Propulsion	Fleet Series (Quantity)
NABI	416.08	ft (m)	1998	Diesel	9801-9865 (65)
NABI	416.09	ft (m)	1999	Diesel	9901-9967 (67)
NABI	416.10	ft (m)	2000	Diesel	0001-0080 (80)
MCI	D4500	ft (m)	2002	Diesel	119C-144C (26)
Neoplan USA	AN440LF	ft (m)	2002	Diesel	0200-0299 (100)
NFI	D40LF	ft (m)	2004	Diesel	04001-04125 (125)
NFI	D40LF	ft (m)	2005	Diesel	05001-05094 (94)
NFI	DE40LFR	ft (m)	2006	Hybrid	06001-06010 (10)
NFI	DE60LFR	ft (m)	2008	Hybrid	08001-08030 (30)
NFI	DE41LFR	ft (m)	2009	Hybrid	09001-09100 (100)
NFI	DE40LFR	ft (m)	2010	Hybrid	10001-10041 (41)
NFI	DE60LF	ft (m)	2010*	Hybrid	11081-11092 (12)
MCI	D4500CT	ft (m)	2010	Diesel	145C-168C (24)
MCI	D4500CT	ft (m)	2011	Diesel	169C-188C (18)
NFI	XDE40	ft (m)	2011	Hybrid	11001-11057 (57)
NFI	XDE40	ft (m)	2012	Hybrid	12001-12053 (53)
NFI	XDE60	ft (m)	2013	Hybrid	12081-12090 (10)
