Year	Result	Award	Film or series	Character
1999	Nominated	National Television Awards	EastEnders	Dot Cotton
2000	Nominated	National Television Awards	EastEnders	Dot Cotton
2000	Nominated	British Soap Awards	EastEnders	Dot Cotton
2000	Won	TV Quick and Choice Awards	EastEnders	Dot Cotton
2001	Nominated	National Television Awards	EastEnders	Dot Cotton
2001	Nominated	British Soap Awards	EastEnders	Dot Cotton
2001	Won	Inside Soap Awards	EastEnders	Dot Cotton
2001	Nominated	TV Quick and Choice Awards	EastEnders	Dot Cotton
2002	Nominated	National Television Awards	EastEnders	Dot Cotton
2002	Nominated	British Soap Awards	EastEnders	Dot Cotton
2002	Won	British Soap Awards	EastEnders	Dot Cotton
2004	Nominated	British Soap Awards	EastEnders	Dot Cotton
2005	Nominated	National Television Awards	EastEnders	Dot Cotton
2005	Nominated	British Soap Awards	EastEnders	Dot Cotton
2005	Won	British Soap Awards	EastEnders	Dot Cotton
2005	Won	Inside Soap Awards	EastEnders	Dot Cotton
2005	Nominated	TV Quick and Choice Awards	EastEnders	Dot Cotton
2007	Nominated	National Television Awards	EastEnders	Dot Cotton
2008	Nominated	TRIC Awards	EastEnders	Dot Cotton
2009	Nominated	National Television Awards	EastEnders	Dot Cotton
2009	Nominated	BAFTA Awards	EastEnders	Dot Cotton
