Week	Date	Opponent	Result	Venue	Attendance
1	September 26, 1954	Pittsburgh Steelers	L 21-20	City Stadium	20,675
2	October 3, 1954	Chicago Bears	L 10-3	City Stadium	24,414
3	October 10, 1954	San Francisco 49ers	L 23-17	Milwaukee County Stadium	15,571
4	October 17, 1954	Los Angeles Rams	W 35-17	Milwaukee County Stadium	17,455
5	October 24, 1954	at Baltimore Colts	W 7-6	Memorial Stadium	28,680
6	October 30, 1954	at Philadelphia Eagles	W 37-14	Connie Mack Stadium	25,378
7	November 7, 1954	at Chicago Bears	L 28-23	Wrigley Field	47,038
8	November 13, 1954	Baltimore Colts	W 24-13	Milwaukee County Stadium	19,786
9	November 21, 1954	Detroit Lions	L 21-17	City Stadium	20,767
10	November 25, 1954	at Detroit Lions	L 28-24	Briggs Stadium	55,532
11	December 5, 1954	at San Francisco 49ers	L 35-0	Kezar Stadium	32,012
12	December 12, 1954	at Los Angeles Rams	L 35-27	Los Angeles Memorial Coliseum	38,839
