Electorate	Incumbent	Winner	Majority	Runner up
Arch Hill	Bill Parry	John Stewart	3,965	Hope
Ashburton	Richard Geoffrey Gerard	Richard Geoffrey Gerard	2,867	Rose
Auckland Central	Bill Anderton	Bill Anderton	2,168	Hillyer
Avon	John Mathison	John Mathison	4,212	Russell
Awarua	George Richard Herron	George Richard Herron	3,755	Pickering
Bay of Plenty	Bill Sullivan	Bill Sullivan	4,047	Santon
Brooklyn	Arnold Nordmeyer	Arnold Nordmeyer	1,826	Clift
Buller	Clarence Skinner	Clarence Skinner	1,227	McDonald
Central Otago	William Bodkin	William Bodkin	3,620	Rodgers
Christchurch Central	Robert Macfarlane	Robert Macfarlane	4,103	Schumacher
Clutha	James Roy	James Roy	3,583	Sanders
Dunedin Central	Philip Connolly	Philip Connolly	373	Macdougall
Eden	Wilfred Fortune	Wilfred Fortune	2,802	Burfitt
Egmont	Ernest Corbett	Ernest Corbett	4,896	Richmond
Fendalton	Sidney Holland	Sidney Holland	4,366	Alloy
Franklin	Jack Massey	Jack Massey	5,358	Faulkner
Gisborne	Reginald Keeling	Harry Dudfield	338	Reginald Keeling
Grey Lynn	Fred Hackett	Fred Hackett	3,813	Barry
Hamilton	Hilda Ross	Hilda Ross	2,252	Waters
Hastings	Sydney Jones	Sydney Jones	1,138	Beattie
Hauraki	Andrew Sutherland	Andrew Sutherland	4,468	Dynes
Hawke's Bay	Cyril Harker	Cyril Harker	4,153	Lowe
Hobson	Sidney Smith	Sidney Smith	5,337	King
Hurunui	Walter Nash	Walter Nash	2,921	Andrews
Hutt	Fred Hackett	Fred Hackett	2,448	Barry
Invercargill	Ralph Hanan	Ralph Hanan	2,123	Spurdle
Island Bay	Robert McKeen	Robert McKeen	1,680	Duncan
Karori	Charles Bowden	Charles Bowden	3,453	Bateman
Lyttelton	Terence McCombs	Harry Lake	133	Terence McCombs
Manawatu	Matthew Oram	Matthew Oram	3,465	Rodgers
Marlborough	Tom Shand	Tom Shand	2,452	Edwin Meachen
Marsden	Alfred Murdoch	Alfred Murdoch	4,001	Hosking
Miramar	Bob Semple	Bob Semple	301	Taylor
Mornington	Walter Arthur Hudson	Walter Arthur Hudson	3,783	Pilling
Mount Albert	Warren Freer	Warren Freer	604	Judson
Mount Victoria	Jack Marshall	Jack Marshall	2,198	Kitts
Napier	Tommy Armstrong	Peter Tait	44	Tommy Armstrong
Nelson	Edgar Neale	Edgar Neale	2,831	Stanley Whitehead
New Plymouth	Ernest Aderman	Ernest Aderman	2,335	Parker
North Dunedin	Robert Walls	Robert Walls	307	Cameron
North Shore	Dean Eyre	Dean Eyre	2,155	Wrathall
Oamaru	Thomas Hayman	Thomas Hayman	1,315	Ryan
Onehunga	Arthur Osborne	Arthur Osborne	1,966	Bradley
Onslow	harry Combs	harry Combs	1,106	Meadowcroft
Otahuhu	Leon Götz	Leon Götz	2,128	James Deas
Otaki	James Joseph Maher	James Joseph Maher	1,142	Holloway
Pahiatua	Keith Holyoake	Keith Holyoake	4,598	Jones
Palmerston North	Blair Tennent	Blair Tennent	200	Joe Hodgens
Parnell	Duncan Rae	Duncan Rae	1,587	Walt
Patea	William Sheat	William Sheat	2,467	Finer
Petone	Michael Moohan	Michael Moohan	2,135	Croft
Piako	William Goosman	William Goosman	6,364	Kenah
Ponsonby	Ritchie Macdonald	Ritchie Macdonald	1,504	Dempsey
Raglan	Hallyburton Johnstone	Hallyburton Johnstone	1,766	Wilson
Rangitikei	Edward Gordon	Edward Gordon	3,677	Dalzell
Remuera	Ronald Algie	Ronald Algie	5,346	Bob Tizard
Riccarton	Angus McLagan	Angus McLagan	2,265	Wills
Rodney	Thomas Webb	Thomas Webb	4,893	Leaming
Roskill	John Rae	John Rae	440	Curran
St Albans	Jack Watts	Jack Watts	1,415	Mora
St Kilda	Fred Jones	James Barnes	336	Fred Jones
Selwyn	John McAlpine	John McAlpine	1,836	Barclay
Sydenham	Mabel Howard	Mabel Howard	4,403	Stott
Tamaki	Eric Halstead	Eric Halstead	1,461	Tom Skinner
Tauranga	Frederick Doidge	George Walsh	5,400	Pickett
Timaru	Clyde Carr	Clyde Carr	564	Richards
Waikato	Geoffrey Sim	Geoffrey Sim	6,369	Bayly
Waimarino	Paddy Kearins	Paddy Kearins	67	MacPherson
Waimate	David Kidd	David Kidd	2,232	Braddick
Wairarapa	Bertie Cooksley	Bertie Cooksley	2,032	Hansen
Waitakere	Rex Mason	Rex Mason	641	Tapper
Waitomo	Walter Broadfoot	Walter Broadfoot	5,286	Dwyer
Wallace	Thomas MacDonald	Thomas MacDonald	5,060	Cleary
Wanganui	Joseph Cotterill	Joseph Cotterill	226	O'Keefe
Wellington Central	Charles Chapman	Charles Chapman	277	Burns
Westland	James Kent	James Kent	2,325	Brown
Eastern Maori	Tiaki Omana	Tiaki Omana	3,706	Alfred Carroll
Northern Maori	Tapihana Paikea	Tapihana Paikea	2,132	James Henare
Southern Maori	Eruera Tirikatene	Eruera Tirikatene	659	William Beaton
Western Maori	Iriaka Matiu Ratana	Iriaka Matiu Ratana	7,352	Hoeroa Marumaru
