Track	Title	Translation	Composer	Recorded
1	"La valse à mille temps"	The waltz a thousand times as fast	Jacques Brel	1959-09-14
2	"Seul"	Alone	Jacques Brel	1959-09-15
3	"La dame patronnesse"	The patronness	Jacques Brel	1959-09-11
4	"Je t'aime"	I love you	Jacques Brel, François Rauber	1959-09-17
5	" Ne me quitte pas "	Don't leave me	Jacques Brel	1959-09-11
6	"Les Flamandes"	Flemish women	Jacques Brel	1959-09-14
7	"Isabelle"	Isabelle	Jacques Brel, François Rauber	1959-09-15
8	"La mort"	Death	Jacques Brel	1959-09-14
9	"La tendresse"	Tenderness	Jacques Brel	1959-09-11
10	"La colombe"	The dove	Jacques Brel	1959-09-15
