Game	November	Opponent	Score	Location/Attendance	Record	Points
12	3	@ Carolina Hurricanes	7-2	RBC Center (13,043)	4-6-2	10
13	4	@ Ottawa Senators	4-1	Scotiabank Place (17,752)	4-7-2	10
14	6	Philadelphia Flyers	2-1	Nassau Veterans Memorial Coliseum (13,078)	4-8-2	10
15	10	@ Anaheim Ducks	1-0	Honda Center (14,393)	4-9-2	10
16	11	@ San Jose Sharks	2-1 (SO)	HP Pavilion (17,562)	4-9-3	11
17	13	@ Los Angeles Kings	5-1	Staples Center (18,118)	4-10-3	11
18	17	Tampa Bay Lightning	4-2	Nassau Veterans Memorial Coliseum (8,025)	4-11-3	11
19	20	Florida Panthers	4-1	Nassau Veterans Memorial Coliseum (9,157)	4-12-3	11
20	21	@ Atlanta Thrashers	2-1 (OT)	Philips Arena (10,066)	4-12-4	12
21	24	Columbus Blue Jackets	4-3 (OT)	Nassau Veterans Memorial Coliseum (8,652)	4-12-5	13
