Team	1982	1983	1984	Total points	Seasons	Points average
Estudiantes de La Plata	54	38	48	140	3	46.66
Ferro Carril Oeste	37	46	50	133	3	44.33
Independiente	52	48	31	131	3	43.67
Vélez Sársfield	42	44	42	128	3	42.67
San Lorenzo	N/A	47	37	84	2	42.00
Newell's Old Boys	44	35	38	117	3	39.00
Argentinos Juniors	28	36	51	115	3	38.33
Boca Juniors	48	37	30	115	3	38.33
Racing de Córdoba	39	27	43	109	3	36.33
River Plate	34	29	43	106	3	35.33
Chacarita Juniors	N/A	N/A	34	34	1	34.00
Instituto de Córdoba	33	35	33	101	3	33.67
Huracán	41	32	27	100	3	33.33
Talleres de Córdoba	33	33	34	100	3	33.33
Temperley	N/A	33	31	64	2	32.00
Platense	28	34	33	95	3	31.67
Unión de Santa Fe	27	38	30	95	3	31.67
Rosario Central	37	30	25	92	3	30.67
Atlanta	N/A	N/A	24	24	1	24.00
