Ethnic group	2001 population	2001 %	2011 population	2011 %
White: British	42747136	87.0	42279236	79.8
White: Irish	624115	1.3	517001	1.0
White: Other	1308110	2.7	2430010	4.6
White : Total	44679361	91.0	45281142	85.4
Asian or Asian British: Indian	1028546	2.1	1395702	2.6
Asian or Asian British: Pakistani	706539	1.4	1112282	2.1
Asian or Asian British: Bangladeshi	275394	0.6	436514	0.8
Asian or Asian British: Chinese	220681	0.5	379502	0.7
Asian or Asian British: Asian Other	237810	0.5	819403	1.6
Asian or Asian British : Total	2468970	5.1	4143403	7.8
Black or Black British: Caribbean	561246	1.1	591016	1.1
Black or Black British: African	475938	1.0	977741	1.8
Black or Black British: Other	95324	0.2	277857	0.5
Black or Black British : Total	1132508	2.3	1846614	3.5
Mixed: White and Caribbean	231424	0.5	415616	0.8
Mixed: White and African	76498	0.2	161550	0.3
Mixed: White and Asian Other	184014	0.4	332708	0.6
Mixed: Other Mixed	151437	0.3	283005	0.3
British Mixed : Total	643373	1.4	1192879	2.0
Other: Any other ethnic group	214619	0.4	327433	0.6
Other: Total	214619	0.4	548418	1.0
