Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score
Runner–up	15 September 2006	Torre del Greco	Clay	Emilia Desiderio	Andreea Roxana Vaideanu Erika Zanchetta	1–6, 6–1, 1–6
Winner	23 September 2006	Lecce	Clay	Ekaterina Ivanova	Kildine Chevalier Adriana Serra Zanetti	7–6 (7–4) , 6–4
Winner	22 October 2006	Dubrovnik	Clay	Ana Veselinović	Ana Jovanović Polona Reberšak	6–4, 7–5
Winner	29 October 2006	Dubrovnik	Clay	Stefanie Haidner	Aleksandra Lukič Patricia Vollmeier	6–4, 6–3
Runner–up	1 April 2007	Hammond	Hard	Marie-Ève Pelletier	Chan Chin-wei Tetiana Luzhanska	1–6, 6–7 (3–7)
Runner–up	9 June 2007	Zagreb	Clay	Danica Krstajić	Ana Jovanović Anastasia Poltoratskaya	6–0, 4–6, 1–6
Winner	23 June 2007	Fontanafredda	Clay	Mervana Jugić-Salkić	Carmen Klaschka Magda Mihalache	6–2, 6–1
Winner	29 June 2007	Sarajevo	Clay	Karolina Jovanović	Katarína Poljaková Zuzana Zlochová	6–1, 6–0
Winner	5 July 2007	Båstad	Clay	Hanna Nooni	Mervana Jugić-Salkić Anna Koumantou	7–5, 7–5
Winner	27 October 2007	Saint Denis	Hard	Marinne Giraud	Florence Haring Virginie Pichet	6–2, 7–5
Winner	2 December 2007	Beloura Sintra	Clay	Caroline Maes	Neuza Silva Roxane Vaisemberg	6–4, 6–1
Winner	21 March 2008	Noida	Hard	Lenka Tvarošková	Kelly Anderson Chanelle Scheepers	6–2, 6–7 (7–9) , [10–6]
Runner–up	14 May 2008	Szczecin	Clay	Emma Laine	Iveta Gerlová Tereza Hladíková	1–6, 4–6
Winner	24 May 2008	Moscow	Clay	Emma Laine	Maria Kondratieva Oksana Teplyakova	7–6 (7–5) , 6–2
Winner	21 June 2008	Istanbul	Hard	Lenka Tvarošková	Stefania Boffa Nikola Fraňková	7–5, 7–6 (7–4)
Winner	27 July 2008	Les Contamines	Hard	Mervana Jugić-Salkić	Justine Ozga Darina Šeděnková	6–1, 6–4
Runner–up	15 August 2008	Palić	Clay	Mervana Jugić-Salkić	Olga Brózda Magdalena Kiszczyńska	3–6, 5–7 (6–8)
Winner	30 August 2008	Vlaardingen	Clay	Mervana Jugić-Salkić	Irina Kuzmina Anastasia Poltoratskaya	6–1, 6–2
