Status	Name	First Performance	Last Performance	Style
Original Cast	Giuseppe Bausilio	30 October 2010	22 May 2011	Ballet
Original Cast	Michael Dameski	6 November 2010	29 January 2011	Ballet
Original Cast	Lex Ishimoto	30 October 2010	29 January 2012	Street
Original Cast	Daniel Russell	14 November 2010	20 August 2011	Ballet
Original Cast	Kylend Hetherington	10 December 2010	14 December 2012	Ballet
Past	Ethan Fuller	10 June 2011	21 August 2011	Ballet
Past	J.P. Viernes	17 June 2011	13 May 2012	Ballet
Past	Ben Cook	30 June 2012	19 May 2013	Ballet, Tap
Past	Zach Manske	15 January 2012	14 October 2012	Ballet
Current Cast	Ty Forhan	1 November 2011	2013	Ballet
Current Cast	Noah Parets	1 July 2012	23 June 2013	Ballet
Current Cast	Drew Minard	15 December 2012	2013	Ballet
Current Cast	Mitchell Tobin	16 December 2012	2013	Ballet, Tap
