Week	Date	Opponent	Result	Game site	Attendance
1	1967-09-10	at Buffalo Bills	L 20–17	War Memorial Stadium	45,748
2	Bye	Bye	Bye	Bye	Bye
3	1967-09-24	at Denver Broncos	W 38–24	Bears Stadium	35,565
4	1967-10-01	Miami Dolphins	W 29–7	Shea Stadium	61,240
5	1967-10-07	Oakland Raiders	W 27–14	Shea Stadium	63,106
6	1967-10-15	Houston Oilers	T 28–28	Shea Stadium	62,729
7	1967-10-22	at Miami Dolphins	W 33–14	Miami Orange Bowl	30,049
8	1967-10-29	Boston Patriots	W 30–23	Shea Stadium	62,784
9	1967-11-05	at Kansas City Chiefs	L 42–18	Municipal Stadium	46,642
10	1967-11-12	Buffalo Bills	W 20–10	Shea Stadium	62,671
11	1967-11-19	at Boston Patriots	W 29–24	Fenway Park	26,790
12	Bye	Bye	Bye	Bye	Bye
13	1967-12-03	Denver Broncos	L 33–24	Shea Stadium	61,615
14	1967-12-10	Kansas City Chiefs	L 21–7	Shea Stadium	62,891
15	1967-12-17	at Oakland Raiders	L 38–29	Oakland-Alameda County Coliseum	53,011
16	1967-12-24	at San Diego Chargers	W 42–31	San Diego Stadium	34,580
