Series #	Season #	Title	Directed by	Written by	Original air date	Prod. code	U.S. viewers (millions)
44	1	"Psychic Eye for the Sloppy Guy"	Rich Correll	Marc Warren	October1,2004	301	4.8
45	2	"Stark Raven Mad"	Marc Warren	Sarah Jane Cunningham & Suzie V. Freeman	October22,2004	304	4.5
46	3	"Opportunity Shocks"	Rich Correll	Dava Savel	November5,2004	309	4.5
47	4	"Taken to the Cleaners"	Rich Correll	Michael Feldman	November19,2004	313	3.7
48	5	"Five Finger Discount"	Rich Correll	Dennis Rinsler	December3,2004	302	3.1
49	6	"Sweeps"	Sean McNamara	Dennis Rinsler	December11,2004	311	2.6
50	7	"Double Vision"	T'Keyah Crystal Keymáh	Sarah Jane Cunningham & Suzie V. Freeman	December17,2004	318	5.5
51	8	"Bend It Like Baxter"	Rich Correll	Dava Savel	January7,2005	315	4.0
52	9	"The Big Buzz"	Eric Dean Seaton	Marc Warren	January28,2005	322	2.17
53	10	"True Colors"	Christopher B. Pearman	Michael Carrington	February4,2005	303	3.3
54	11	"Dog Day Aftergroom"	KC Lynn De Stefano	Theresa Akana & Stacee Comage	February11,2005	317	2.4
55	12	"Royal Treatment"	Christopher B. Pearman	Sarah Jane Cunningham & Suzie V. Freeman	February18,2005	310	2.7
56	13	"Art Breaker"	Gregory Hobson	Josh Lynn & Danny Warren	February25,2005	308	3.5
57	14	"Boyz 'N Commotion"	Debbie Allen	Theresa Akana & Stacee Comage	March11,2005	306	4.8
58	15	"Gettin' Outta Dodge"	Rich Correll	Edward C. Evans	April8,2005	319	2.1
59	16	"On Top of Old Oakey"	John Tracy	Michael Feldman	April22,2005	305	2.3
60	17	"They Work Hard for His Honey"	Eric Dean Seaton	Edward C. Evans	April29,2005	307	4.2
61	18	"Mind Your Own Business"	Eric Dean Seaton	Dennis Rinsler	May13,2005	327	4.4
62	19	"Hizzouse Party"	Rich Correll	Michael Carrington	June13,2005	312	5.1
63	20	"Mismatch Maker"	Fred Savage	Edward C. Evans	June14,2005	325	4.3
65	22	"When in Dome"	Marc Warren	Sarah Jane Cunningham & Suzie V. Freeman	June16,2005	328	4.7
66	23	"Too Much Pressure"	Rich Correll	Dava Savel	June17,2005	323	4.4
67	24	"Extreme Cory"	Rich Correll	Theresa Akana & Stacee Comage	July8,2005	326	3.8
68	25	"The Grill Next Door"	Sean McNamara	Michael Feldman	July8,2005	324	4.23
69	26	"Point of No Return"	Sean McNamara	Edward C. Evans	July23,2005	330	6.0
72	29	"Food for Thought"	Rich Correll	Marc Warren	September18,2005	316	3.4
73	30	"Mr. Perfect"	Rich Correll	Michael Carrington	October7,2005	329	3.0
74	31	"Goin' Hollywood"	Rich Correll	Dennis Rinsler & Marc Warren	November4,2005	333	3.7
75	32	"Save the Last Dance"	Sean McNamara	Marc Warren	November25,2005	334	3.3
76	33	"Cake Fear"	Rondell Sheridan	Theresa Akana & Stacee Comage	December16,2005	332	3.6
77	34	"Vision Impossible"	Marc Warren	David Brookwell & Sean McNamara	January6,2006	335	4.7
