Res.	Record	Opponent	Method	Event	Round	Location
Win	6-4 (1)	Johnathan Ivey	TKO (punches)	PFL - Genesis	2	Florida , United States
Loss	5-4 (1)	Wes Sims	TKO	HOOKnSHOOT - Absolute Fighting Championships 1	2	Florida , United States
Loss	5-3 (1)	Dan Severn	Submission (arm triangle choke)	WEF 9 - World Class	1	Indiana , United States
Win	5-2 (1)	Maurice Smith	Submission (arm triangle choke)	WEF 7 - Stomp in the Swamp	2	Louisiana , United States
Win	4-2 (1)	Patrick Smith	DQ (knees on a grounded opponent)	WEF 6 - World Extreme Fighting 6	2	Florida , United States
Loss	3-2 (1)	Kazushi Sakuraba	Submission (armbar)	UFC Japan: Ultimate Japan	1	Yokohama , Japan
NC	3-1 (1)	Kazushi Sakuraba	No Contest (premature stoppage)	UFC Japan: Ultimate Japan	1	Yokohama , Japan
Loss	3-1	Maurice Smith	TKO (kick)	EF 3 - Extreme Fighting 3	3	Oklahoma , United States
Win	3-0	Carl Franks	TKO	EF 2 - Extreme Fighting 2	1	Montreal, Quebec , Canada
Win	2-0	Victor Tatarkin	Submission	EF 1 - Extreme Fighting 1	1	North Carolina , United States
Win	1-0	Gary Myers	Submission (guillotine choke)	EF 1 - Extreme Fighting 1	1	North Carolina , United States
