Year (Ceremony)	Film title used in nomination	Original title	Language (s)	Result
1994 (67th)	Before the Rain	Пред дождот	Macedonian, Albanian, English	Nominee
1997 (70th)	Gypsy Magic	Џипси Меџик	Macedonian, Romany	Not Nominated
1998 (71st)	Goodbye, 20th Century	Збогум на Дваесетиот Бек!	Macedonian	Not Nominated
2004 (77th)	The Great Water	Γолемата Вода	Macedonian	Not Nominated
2006 (79th)	Kontakt	Контакт	Macedonian, German	Not Nominated
2007 (80th)	Shadows	Сенки	Macedonian	Not Nominated
2008 (81st)	I'm From Titov Veles	Јас сум од Титов Велес	Macedonian	Not Nominated
2009 (82nd)	Wingless	Ocas ještěrky	Czech	Not Nominated
2010 (83rd)	Mothers	Мајки	Macedonian	Not Nominated
2011 (84th)	Punk's Not Dead	Панкот не е мртов	Macedonian	Not Nominated
2012 (85th)	The Third Half	Трето Полувреме	Macedonian	Not Nominated
