Pick	Player	Position	Nationality	NHL team	College/junior/club team
1	Ed Jovanovski	Defence	Canada	Florida Panthers	Windsor Spitfires ( OHL )
2	Oleg Tverdovsky	Defence	Russia	Mighty Ducks of Anaheim	Krylja Sovetov (Russia)
3	Radek Bonk	Centre	Czech Republic	Ottawa Senators	Las Vegas Thunder ( IHL )
4	Jason Bonsignore	Centre	United States	Edmonton Oilers	Niagara Falls Thunder (OHL)
5	Jeff O'Neill	Winger	Canada	Hartford Whalers	Guelph Storm (OHL)
6	Ryan Smyth	Left Wing	Canada	Edmonton Oilers	Moose Jaw Warriors ( WHL )
7	Jamie Storr	Goaltender	Canada	Los Angeles Kings	Owen Sound Platers (OHL)
8	Jason Wiemer	Centre	Canada	Tampa Bay Lightning	Portland Winter Hawks (WHL)
9	Brett Lindros	Right Wing	Canada	New York Islanders	Kingston Frontenacs (OHL)
10	Nolan Baumgartner	Defence	Canada	Washington Capitals	Kamloops Blazers (WHL)
11	Jeff Friesen	Left Wing	Canada	San Jose Sharks	Regina Pats (WHL)
12	Wade Belak	Defence	Canada	Quebec Nordiques	Saskatoon Blades (WHL)
13	Mattias Ohlund	Defence	Sweden	Vancouver Canucks	Luleå HF (Sweden)
14	Ethan Moreau	Left Wing	Canada	Chicago Blackhawks	Niagara Falls Thunder (OHL)
15	Alexander Kharlamov	Right Wing	Russia	Washington Capitals	CSKA Moscow (Russia)
16	Eric Fichaud	Goaltender	Canada	Toronto Maple Leafs	Chicoutimi Saguenéens ( QMJHL )
17	Wayne Primeau	Centre	Canada	Buffalo Sabres	Owen Sound Platers (OHL)
18	Brad Brown	Defence	Canada	Montreal Canadiens	North Bay Centennials (OHL)
19	Chris Dingman	Left Wing	Canada	Calgary Flames	Brandon Wheat Kings (WHL)
20	Jason Botterill	Left Wing	Canada	Dallas Stars	University of Michigan ( NCAA )
21	Evgeni Ryabchikov	Goaltender	Russia	Boston Bruins	Molot Perm (Russia)
22	Jeff Kealty	Defence	United States	Quebec Nordiques	Catholic Memorial High School (HS-Massachusetts)
23	Yan Golubovsky	Defence	Russia	Detroit Red Wings	HC Dynamo Moscow (Russia)
24	Chris Wells	Centre	Canada	Pittsburgh Penguins	Seattle Thunderbirds (WHL)
25	Vadim Sharifijanov	Left Wing	Russia	New Jersey Devils	Ufa Salavat (Russia)
26	Dan Cloutier	Goaltender	Canada	New York Rangers	Sault Ste. Marie Greyhounds (OHL)
Reference:	Reference:	Reference:	Reference:	Reference:	Reference:
