Date	Opponent	Score	Loss	Attendance	Record
August 2	@ Mets	8 - 9 (11)	Santana (2-5)	32,453	52-55
August 3	@ Mets	6 - 4	Looper (4-5)	40,659	53-55
August 4	@ Mets	12 - 9	Hernández (5-5)	30,359	54-55
August 5	@ Phillies	3 - 1 (10)	Geary (1-1)	31,759	55-55
August 6	@ Phillies	2 - 8	Capuano (12-7)	35,800	55-56
August 7	@ Phillies	2 - 0	Padilla (5-11)	35,017	56-56
August 8	Cardinals	4 - 8	Wise (4-4)	30,260	56-57
August 9	Cardinals	2 - 5	Davis (9-8)	28,556	56-58
August 10	Cardinals	0 - 3	Sheets (8-8)	37,650	56-59
August 12	Reds	3 - 5	Capuano (12-8)	24,103	56-60
August 13	Reds	1 - 4	Ohka (7-7)	41,282	56-61
August 14	Reds	8 - 3	Belisle (2-6)	29,262	57-61
August 15	@ Rockies	2 - 11	Sheets (8-9)	18,596	57-62
August 16	@ Rockies	6 - 4	Francis (11-9)	18,582	58-62
August 17	@ Rockies	2 - 0	Wright (6-14)	19,288	59-62
August 18	@ Astros	5 - 2	Clemens (11-5)	29,844	60-62
August 19	@ Astros	3 - 5	Davis (9-9)	31,651	60-63
August 20	@ Astros	3 - 2	Harville (0-2)	41,101	61-63
August 21	@ Astros	3 - 8	Santos (4-12)	35,712	61-64
August 23	Marlins	11 - 2	Beckett (12-7)	20,318	62-64
August 24	Marlins	6 - 4	Burnett (12-7)	33,323	63-64
August 25	Marlins	1 - 3 (11)	Capellán (0-1)	22,843	63-65
August 26	Braves	3 - 1	Ramírez (10-8)	30,670	64-65
August 27	Braves	4 - 8	Santos (4-13)	42,464	64-66
August 28	Braves	2 - 5	Capuano (14-9)	35,060	64-67
August 30	Pirates	0 - 6	Davis (9-10)	28,337	64-68
August 31	Pirates	6 - 5	Mesa (2-8)	15,062	65-68
