Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Rangers	3 - 0	Key (4-1)	33,439	12-10
May 2	@ Royals	3 - 1	Appier (1-4)	22,896	13-10
May 3	@ Royals	5 - 1	Davis (2-2)	20,809	14-10
May 4	@ Royals	6 - 5	Boucher (0-2)	22,628	14-11
May 5	@ Royals	3 - 0	Gordon (1-2)	22,588	15-11
May 7	Rangers	3 - 2	Key (4-2)	44,622	15-12
May 8	Rangers	4 - 2	Ryan (3-3)	43,211	16-12
May 9	White Sox	2 - 0	Pérez (1-2)	47,236	17-12
May 10	White Sox	5 - 3 (12)	Fraser (0-1)	50,198	17-13
May 11	White Sox	5 - 2	Hough (0-2)	50,206	18-13
May 12	White Sox	4 - 2	Hibbard (2-1)	50,108	19-13
May 13	Royals	4 - 2	Davis (2-4)	44,275	20-13
May 14	Royals	4 - 1	Gubicza (0-1)	43,357	21-13
May 15	Royals	6 - 4	Boucher (0-3)	50,113	21-14
May 17	@ White Sox	5 - 3	Timlin (3-1)	30,095	21-15
May 18	@ White Sox	9 - 2	Hibbard (2-2)	34,861	22-15
May 19	@ White Sox	5 - 4	Timlin (3-2)	41,015	22-16
May 20	@ Athletics	1 - 0	Welch (4-3)	24,631	23-16
May 21	@ Athletics	11 - 7	Dressendorfer (3-3)	22,738	24-16
May 22	@ Athletics	2 - 1	Stieb (4-3)	34,028	24-17
May 24	@ Angels	3 - 2	Finley (7-2)	26,408	25-17
May 25	@ Angels	5 - 0	Stottlemyre (5-1)	36,732	25-18
May 26	@ Angels	6 - 2	Wells (5-4)	45,307	25-19
May 28	Athletics	8 - 4	Acker (1-2)	50,299	25-20
May 29	Athletics	8 - 3	Slusarski (1-2)	50,262	26-20
May 30	Athletics	8 - 6	Ward (0-2)	50,271	26-21
May 31	Angels	5 - 1	Langston (6-2)	50,252	27-21
