-Butadiene	10 4 k /min −1 (30 °C) (± 1-2%) absolute	10 4 k /min −1 (30 °C) (± 1-2%) relative	ΔH ‡ /kcal mol −1	ΔS ‡ /cal mol −1 K −1
2-methyl	1.83	1.00	14.9	-15
2-ethyl	4.76	2.60	10.6	-20
2-isopropyl	13.0	7.38	12.5	-17
2-tert-butyl	38.2	20.8	10.0	-19
2-neopentyl	17.2	9.4	11.6	-18
2-cloro	0.24	0.13	N/A	N/A
2-bromoethyl	0.72	0.39	N/A	N/A
2-p-tolyl	24.7	13.5	10.4	-19
2-phenyl	17.3	9.45	N/A	N/A
2-(p-bromophenyl)	9.07	4.96	N/A	N/A
2,3-dimethyl	3.54	1.93	12.3	-18
cis-1-methyl	0.18	0.10	N/A	N/A
trans-1-methyl	0.69	0.38	N/A	N/A
1,2-dimethylene-cyclohexane	24.7	13.5	11.4	-16
