Date	Visitor	Score	Home	Record
October 11	California Golden Seals	1–5	Chicago Black Hawks	1–0–0
October 14	Vancouver Canucks	2–8	Chicago Black Hawks	2–0–0
October 15	Chicago Black Hawks	2-1	Detroit Red Wings	3–0-0
October 17	Chicago Black Hawks	2–6	Montreal Canadiens	3–1–0
October 18	St. Louis Blues	2–2	Chicago Black Hawks	3–1–1
October 22	Chicago Black Hawks	3–3	Boston Bruins	3–1–2
October 24	Chicago Black Hawks	1–0	Toronto Maple Leafs	4–1–2
October 25	Chicago Black Hawks	4–0	Buffalo Sabres	5–1–2
October 28	Chicago Black Hawks	1–2	Minnesota North Stars	5–2–2
October 31	Chicago Black Hawks	5–2	Pittsburgh Penguins	6–2–2
November 1	Chicago Black Hawks	2–5	New York Rangers	6–3–2
November 4	Detroit Red Wings	2–4	Chicago Black Hawks	7–3–2
November 7	Chicago Black Hawks	1–1	Philadelphia Flyers	7–3–3
November 8	Minnesota North Stars	3–3	Chicago Black Hawks	7–3–4
November 11	Philadelphia Flyers	1–7	Chicago Black Hawks	8-3–4
November 14	New York Rangers	1–2	Chicago Black Hawks	9–3–4
November 15	Vancouver Canucks	2–4	Chicago Black Hawks	10-3–4
November 21	Chicago Black Hawks	3-3	St. Louis Blues	10–3–5
November 22	California Golden Seals	0-9	Chicago Black Hawks	11–3–5
November 25	Montreal Canadiens	3–5	Chicago Black Hawks	12–3–5
November 26	Chicago Black Hawks	2–3	Boston Bruins	12–4–5
November 28	Philadelphia Flyers	1–3	Chicago Black Hawks	13–4–5
November 29	Los Angeles Kings	3-5	Chicago Black Hawks	14–4–5
December 2	Boston Bruins	3–4	Chicago Black Hawks	15–4–5
December 5	Chicago Black Hawks	4–1	Minnesota North Stars	16–4–5
December 6	Toronto Maple Leafs	2-6	Chicago Black Hawks	17–4–5
December 9	Buffalo Sabres	1–6	Chicago Black Hawks	18–4–5
December 12	Chicago Black Hawks	1-2	Toronto Maple Leafs	18–5–5
December 13	Minnesota North Stars	2–5	Chicago Black Hawks	19–5–5
December 16	St. Louis Blues	3–8	Chicago Black Hawks	20–5–5
December 20	Pittsburgh Penguins	1–2	Chicago Black Hawks	21–5–5
December 22	Chicago Black Hawks	2–5	California Golden Seals	21–6–5
December 23	Chicago Black Hawks	6–4	Los Angeles Kings	22–6–5
December 26	Chicago Black Hawks	4–2	Vancouver Canucks	23–6–5
December 31	Chicago Black Hawks	8–3	Detroit Red Wings	24–6–5
January 2	Chicago Black Hawks	3-1	Philadelphia Flyers	25–6–5
January 3	Chicago Black Hawks	5–3	Buffalo Sabres	26–6–5
January 6	Los Angeles Kings	4–2	Chicago Black Hawks	26–7–5
January 9	Boston Bruins	3–4	Chicago Black Hawks	27–7–5
January 10	Minnesota North Stars	3–2	Chicago Black Hawks	27–8–5
January 13	Buffalo Sabres	2–4	Chicago Black Hawks	28–8–5
January 16	Chicago Black Hawks	2–3	St. Louis Blues	28-9–5
January 17	New York Rangers	3–4	Chicago Black Hawks	29–9–5
January 21	Detroit Red Wings	0–2	Chicago Black Hawks	30-9–5
January 23	Chicago Black Hawks	2–6	Boston Bruins	30–10–5
January 24	California Golden Seals	3–5	Chicago Black Hawks	31–10–5
January 26	Chicago Black Hawks	3–3	Vancouver Canucks	31–10–6
January 28	Pittsburgh Penguins	1–4	Chicago Black Hawks	32–10–6
January 30	Chicago Black Hawks	1–3	Pittsburgh Penguins	32–11–6
January 31	Montreal Canadiens	1–4	Chicago Black Hawks	33–11–6
February 3	Chicago Black Hawks	4–2	New York Rangers	34–11–6
February 4	Chicago Black Hawks	2–6	Philadelphia Flyers	34–12–6
February 6	Chicago Black Hawks	6–2	Minnesota North Stars	35–12–6
February 7	Pittsburgh Penguins	0–1	Chicago Black Hawks	36–12–6
February 10	Toronto Maple Leafs	3-2	Chicago Black Hawks	36–13–6
February 13	Chicago Black Hawks	4–5	Pittsburgh Penguins	36–14–6
February 14	Vancouver Canucks	1–3	Chicago Black Hawks	37–14–6
February 17	Buffalo Sabres	1–5	Chicago Black Hawks	38–14–6
February 20	Chicago Black Hawks	1–7	Montreal Canadiens	38–15–6
February 21	Los Angeles Kings	5–7	Chicago Black Hawks	39–15–6
February 26	Chicago Black Hawks	3–1	California Golden Seals	40–15–6
February 27	Chicago Black Hawks	4–1	Los Angeles Kings	41–15–6
March 3	Chicago Black Hawks	5–1	St. Louis Blues	42–15–6
March 5	Chicago Black Hawks	2–2	Buffalo Sabres	42–15–7
March 6	Chicago Black Hawks	2-2	Toronto Maple Leafs	42–15–8
March 10	New York Rangers	4–2	Chicago Black Hawks	42–16–8
March 13	Chicago Black Hawks	4–1	Montreal Canadiens	43–16–8
March 14	St. Louis Blues	4–4	Chicago Black Hawks	43–16–9
March 16	Chicago Black Hawks	7–4	Vancouver Canucks	44–16–9
March 18	Chicago Black Hawks	2–3	Los Angeles Kings	44–17–9
March 19	Chicago Black Hawks	4–2	California Golden Seals	45–17–9
March 21	Detroit Red Wings	0–2	Chicago Black Hawks	46–17-9
March 24	Boston Bruins	1–2	Chicago Black Hawks	47–17–9
March 27	Philadelphia Flyers	1–3	Chicago Black Hawks	48–17–9
March 28	Montreal Canadiens	2–1	Chicago Black Hawks	48–18–9
March 31	Chicago Black Hawks	2–4	New York Rangers	48–19–9
April 3	Chicago Black Hawks	4–1	Detroit Red Wings	49–19–9
April 4	Toronto Maple Leafs	3–2	Chicago Black Hawks	49–20–9
