Date	Tournament	Surface	Partnering	Opponent in the final	Score
7 February 1991	Tel Aviv , Israel	Hard	Michiel Schapers	Javier Frana Leonardo Lavalle	6–2, 6–7, 6–3
6 July 1992	Newport, Rhode Island	Grass	Royce Deppe	Paul Annacone David Wheaton	6–4, 6–4
25 October 1993	Santiago, Chile	Clay	Mike Bauer	Christer Allgardh Brian Devening	7–6, 6–4
4 April 1994	Barcelona , Spain	Clay	Yevgeny Kafelnikov	Jim Courier Javier Sánchez	5–7, 6–1, 6–4
25 April 1994	Munich , Germany	Clay	Yevgeny Kafelnikov	Boris Becker Petr Korda	7–6, 7–5
9 May 1994	Rome , Italy	Clay	Yevgeny Kafelnikov	Wayne Ferreira Javier Sánchez	6–1, 7–5
17 October 1994	Vienna , Austria	Carpet	Mike Bauer	Alex Antonitsch Greg Rusedski	7–6, 6–4
11 September 1995	Bogotá , Colombia	Clay	Jiří Novák	Steve Campbell MaliVai Washington	7–6, 6–2
23 October 1995	Santiago, Chile	Clay	Jiří Novák	Shelby Cannon Francisco Montana	6–4, 4–6, 6–1
25 March 1996	Casablanca , Morocco	Clay	Jiří Novák	Tomás Carbonell Francisco Roig	7–6, 6–3
9 September 1996	Bogotá , Colombia	Clay	Nicolas Pereira	Pablo Campana Nicolás Lapentti	6–3, 7–6
13 October 1997	Ostrava , Czech Republic	Carpet	Jiří Novák	Donald Johnson Francisco Montana	6–2, 6–4
10 August 1998	San Marino	Clay	Jiří Novák	Mariano Hood Sebastián Prieto	6–4, 7–6
17 August 1998	Indianapolis, Indiana , U.S.	Hard	Jiří Novák	Mark Knowles Daniel Nestor	6–2, 7–6
26 October 1998	Mexico City , Mexico	Clay	Jiří Novák	Daniel Orsanic David Roditi	6–4, 6–2
7 February 2000	Dubai , United Arab Emirates	Hard	Jiří Novák	Robbie Koenig Peter Tramacchi	6–2, 7–5
10 July 2000	Gstaad , Switzerland	Hard	Jiří Novák	Jérôme Golmard Michael Kohlmann	3–6, 6–3, 6–4
17 July 2000	Stuttgart Outdoor , Germany	Clay	Jiří Novák	Lucas Arnold Donald Johnson	5–7, 6–2, 6–3
30 October 2000	Stuttgart Indoor , Germany	Hard	Jiří Novák	Donald Johnson Piet Norval	3–6, 6–3, 6–4
19 March 2001	Miami , Florida , U.S.	Hard	Jiří Novák	Jonas Björkman Todd Woodbridge	7–5, 7–6
21 May 2001	Saint Poelten , Austria	Clay	Petr Pála	Jaime Oncins Daniel Orsanic	6–3 5–7 7–5
30 July 2001	Montreal , Canada	Hard	Jiří Novák	Donald Johnson Jared Palmer	6–4, 3–6, 6–3
20 May 2002	Saint Poelten , Austria	Clay	Petr Pála	Mike Bryan Michael Hill	7–5, 6–4
10 June 2002	Gstaad , Switzerland	Clay	Joshua Eagle	Massimo Bertolini Cristian Brandi	7–6, 6–4
25 June 2002	Halle , Germany	Grass	David Prinosil	Jonas Björkman Todd Woodbridge	4–6, 7–6, 7–5
15 July 2002	Stuttgart Outdoor , Germany	Clay	Joshua Eagle	David Adams Gastón Etlis	6–3, 6–4
24 February 2003	Dubai , United Arab Emirates	Hard	Leander Paes	Wayne Black Kevin Ullyett	6–3, 6–0
7 July 2003	Gstaad , Switzerland	Clay	Leander Paes	František Čermák Leoš Friedl	6–3, 6–3
7 June 2004	Halle , Germany	Grass	Leander Paes	Tomáš Cibulec Petr Pála	6–2, 7–5
5 July 2004	Gstaad , Switzerland	Clay	Leander Paes	Marc Rosset Stanislas Wawrinka	6–4, 6–2
