Place	Player	Country	Score	To par	Money ( £ )
1	Bill Rogers	United States	72-66-67-71=276	–4	25,000
2	Bernhard Langer	West Germany	73-67-70-70=280	E	17,500
T3	Raymond Floyd	United States	74-70-69-70=283	+3	11,750
T3	Mark James	England	72-70-68-73=283	+3	11,750
5	Sam Torrance	Scotland	72-69-73-70=284	+4	8,500
T6	Bruce Lietzke	United States	76-69-71-69=285	+5	7,750
T6	Manuel Piñero	Spain	73-74-68-70=285	+5	7,750
T8	Howard Clark	England	72-76-70-68=286	+6	6,500
T8	Ben Crenshaw	United States	72-67-76-71=286	+6	6,500
T8	Brian Jones	Australia	73-76-66-71=286	+6	6,500
