Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1961	July 30	Jack Smith * Johnny Allen *	Jack Smith	Pontiac	500	250 (402.336)	3:39:23	68.373	Report
1962	April 29	Bobby Johns	Shorty Johns	Pontiac	500	250 (402.336)	3:24:22	73.397	Report
1963	July 28	Fred Lorenzen * Ned Jarrett *	Holman-Moody	Ford	500	250 (402.336)	3:20:25	74.844	Report
1964	July 26	Fred Lorenzen	Holman-Moody	Ford	500	250 (402.336)	3:12:12	78.044	Report
1965	July 25	Ned Jarrett	Bondy Long	Ford	500	250 (402.336)	4:02:37	61.826	Report
1966	July 24	Paul Goldsmith	Ray Nichels	Plymouth	500	250 (402.336)	3:12:24	77.963	Report
1967	July 23	Richard Petty	Petty Enterprises	Plymouth	500	250 (402.336)	3:10:35	78.705	Report
1968	July 21	David Pearson	Holman-Moody	Ford	500	250 (402.336)	3:16:34	76.31	Report
1969	July 20	David Pearson	Holman-Moody	Ford	500	266.5 (428.89)	3:08:07	79.737	Report
1970	July 19	Bobby Allison	Bobby Allison	Dodge	500	266.5 (428.89)	3:08:23	84.88	Report
1971	July 11	Charlie Glotzbach * Raymond Hassler *	Richard Howard	Chevrolet	500	266.5 (428.89)	2:38:12	101.074	Report
1972	July 9	Bobby Allison	Richard Howard	Chevrolet	500	266.5 (428.89)	2:30:28	92.735	Report
1973	July 8	Benny Parsons	L.G. DeWitt	Chevrolet	500	266.5 (428.89)	2:53:04	91.342	Report
1974	July 14	Cale Yarborough	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	3:31:59	75.43	Report
1975	November 2	Richard Petty	Petty Enterprises	Dodge	500	266.5 (428.89)	2:44:49	97.016	Report
1976	August 29	Cale Yarborough	Junior Johnson & Associates	Chevrolet	400	213.2 (343.112)	2:08:59	99.175	Report
1977	August 28	Cale Yarborough	Junior Johnson & Associates	Chevrolet	400	213.2 (343.112)	2:40:27	79.726	Report
1978 *	August 26	Cale Yarborough	Junior Johnson & Associates	Oldsmobile	500	266.5 (428.89)	3:25:00	88.628	Report
1979	August 25	Darrell Waltrip	DiGard Motorsports	Chevrolet	500	266.5 (428.89)	2:54:46	91.493	Report
1980	August 23	Cale Yarborough	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	3:03:51	86.973	Report
1981	August 22	Darrell Waltrip	Junior Johnson & Associates	Buick	500	266.5 (428.89)	3:08:44	84.723	Report
1982	August 28	Darrell Waltrip	Junior Johnson & Associates	Buick	500	266.5 (428.89)	2:49:32	94.318	Report
1983	August 27	Darrell Waltrip	Junior Johnson & Associates	Buick	418*	222.794 (358.552)	2:29:50	89.43	Report
1984	August 25	Terry Labonte	Hagan Racing	Chevrolet	500	266.5 (428.89)	3:07:19	85.365	Report
1985	August 24	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	3:27:44	81.388	Report
1986	August 23	Darrell Waltrip	Junior Johnson & Associates	Chevrolet	500	266.5 (428.89)	3:03:55	86.934	Report
1987	August 22	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	2:56:56	90.373	Report
1988	August 27	Dale Earnhardt	Richard Childress Racing	Chevrolet	500	266.5 (428.89)	3:22:59	78.775	Report
1989	August 26	Darrell Waltrip	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:04:14	85.554	Report
1990	August 25	Ernie Irvan	Morgan-McClure Motorsports	Chevrolet	500	266.5 (428.89)	2:54:13	91.782	Report
1991	August 24	Alan Kulwicki	AK Racing	Ford	500	266.5 (428.89)	3:14:56	82.028	Report
1992	August 29	Darrell Waltrip	DarWal, Inc.	Chevrolet	500	266.5 (428.89)	2:55:20	91.198	Report
1993	August 28	Mark Martin	Roush Racing	Ford	500	266.5 (428.89)	3:01:21	88.172	Report
1994	August 27	Rusty Wallace	Penske Racing	Ford	500	266.5 (428.89)	2:55:01	91.363	Report
1995	August 26	Terry Labonte	Hendrick Motorsports	Chevrolet	500	266.5 (428.89)	3:15:03	81.979	Report
1996	August 24	Rusty Wallace	Penske Racing	Ford	500	266.5 (428.89)	2:55:12	91.267	Report
