Date	Visitor	Score	Home	Record
October 10	Toronto Maple Leafs	3–1	Chicago Black Hawks	0–1–0
October 13	Detroit Red Wings	0–0	Chicago Black Hawks	0–1–1
October 14	Chicago Black Hawks	2–2	Boston Bruins	0–1-2
October 17	Chicago Black Hawks	5–1	New York Rangers	1–1–2
October 20	Chicago Black Hawks	1–3	Toronto Maple Leafs	1–2–2
October 21	Chicago Black Hawks	1–3	Detroit Red Wings	1–3–2
October 23	Montreal Canadiens	4–4	Chicago Black Hawks	1–3–3
October 27	Chicago Black Hawks	3–2	Montreal Canadiens	2–3–3
October 28	Chicago Black Hawks	5–3	New York Rangers	3–3–3
October 30	New York Rangers	3–5	Chicago Black Hawks	4–3–3
November 1	Chicago Black Hawks	4–2	Boston Bruins	5–3–3
November 4	Chicago Black Hawks	1–3	Detroit Red Wings	5–4–3
November 7	Boston Bruins	3–3	Chicago Black Hawks	5–4–4
November 10	Chicago Black Hawks	3–1	Montreal Canadiens	6–4–4
November 11	Toronto Maple Leafs	5–3	Chicago Black Hawks	6–5–4
November 14	Detroit Red Wings	2–4	Chicago Black Hawks	7–5–4
November 17	Chicago Black Hawks	4–3	New York Rangers	8–5–4
November 18	Montreal Canadiens	1-1	Chicago Black Hawks	8–5–5
November 22	Toronto Maple Leafs	0–1	Chicago Black Hawks	9–5–5
November 24	Detroit Red Wings	1–1	Chicago Black Hawks	9–5–6
November 25	Chicago Black Hawks	2–3	Detroit Red Wings	9–6–6
November 29	Chicago Black Hawks	5–0	Boston Bruins	10–6–6
December 1	Chicago Black Hawks	1–2	Montreal Canadiens	10–7–6
December 2	New York Rangers	1–5	Chicago Black Hawks	11–7–6
December 5	Boston Bruins	4–5	Chicago Black Hawks	12–7–6
December 8	Chicago Black Hawks	1–1	Toronto Maple Leafs	12–7–7
December 9	Montreal Canadiens	1–2	Chicago Black Hawks	13–7–7
December 12	New York Rangers	3–4	Chicago Black Hawks	14–7–7
December 15	Chicago Black Hawks	1–3	Detroit Red Wings	14–8–7
December 16	Toronto Maple Leafs	6–2	Chicago Black Hawks	14–9–7
December 19	Boston Bruins	2–3	Chicago Black Hawks	15–9–7
December 22	Chicago Black Hawks	1–1	Montreal Canadiens	15–9–8
December 23	Chicago Black Hawks	3–1	New York Rangers	16–9–8
December 25	Montreal Canadiens	6–0	Chicago Black Hawks	16–10–8
December 29	Chicago Black Hawks	1–1	Toronto Maple Leafs	16–10–9
December 30	Boston Bruins	2-4	Chicago Black Hawks	17–10–9
January 1	Detroit Red Wings	2–4	Chicago Black Hawks	18–10–9
January 6	Toronto Maple Leafs	5–1	Chicago Black Hawks	18–11–9
January 9	Chicago Black Hawks	3–1	Toronto Maple Leafs	19–11–9
January 10	Chicago Black Hawks	4–5	Boston Bruins	19–12–9
January 12	New York Rangers	1–3	Chicago Black Hawks	20–12–9
January 13	Montreal Canadiens	2–2	Chicago Black Hawks	20-12–10
January 16	Boston Bruins	5–4	Chicago Black Hawks	20–13–10
January 19	Chicago Black Hawks	4–1	Toronto Maple Leafs	21–13–10
January 20	New York Rangers	2–6	Chicago Black Hawks	22–13–10
January 23	Chicago Black Hawks	3–3	New York Rangers	22–13–11
January 26	Chicago Black Hawks	3–0	Detroit Red Wings	23–13–11
January 27	Montreal Canadiens	3–1	Chicago Black Hawks	23–14–11
January 31	Chicago Black Hawks	9–2	Boston Bruins	24–14–11
February 2	Chicago Black Hawks	3–3	Montreal Canadiens	24–14–12
February 3	Toronto Maple Leafs	1–3	Chicago Black Hawks	25–14–12
February 6	Detroit Red Wings	3–3	Chicago Black Hawks	25–14–13
February 9	Chicago Black Hawks	3–3	New York Rangers	25–14–14
February 10	New York Rangers	2–4	Chicago Black Hawks	26–14–14
February 16	Chicago Black Hawks	2–4	Montreal Canadiens	26–15–14
February 17	Boston Bruins	1–3	Chicago Black Hawks	27–15–14
February 21	Chicago Black Hawks	5–3	Detroit Red Wings	28–15–14
February 23	Detroit Red Wings	2–3	Chicago Black Hawks	29–15–14
February 24	Boston Bruins	3–4	Chicago Black Hawks	30–15–14
February 27	Chicago Black Hawks	3–6	Toronto Maple Leafs	30–16–14
February 28	New York Rangers	6–1	Chicago Black Hawks	30–17–14
March 3	Montreal Canadiens	2–2	Chicago Black Hawks	30–17–15
March 6	Chicago Black Hawks	2–5	New York Rangers	30–18–15
March 10	Toronto Maple Leafs	1–1	Chicago Black Hawks	30–18–16
March 14	Chicago Black Hawks	2–0	Boston Bruins	31–18–16
March 16	Chicago Black Hawks	0–3	Toronto Maple Leafs	31–19–16
March 17	Chicago Black Hawks	2–4	Detroit Red Wings	31–20–16
March 19	Detroit Red Wings	5–1	Chicago Black Hawks	31–21–16
March 23	Chicago Black Hawks	4–4	Montreal Canadiens	31–21–17
March 24	Chicago Black Hawks	4–3	Boston Bruins	32–21–17
