Date	Opponent	Score	Loss	Attendance	Record
March 31	Rangers	5 - 2	Millwood (0-1)	46,334	1-0
April 1	Rangers	5 - 4	Putz (0-1)	25,204	1-1
April 2	Rangers	4 - 1	Jennings (0-1)	21,349	2-1
April 4	@ Orioles	7 - 4	Washburn (0-1)	14,429	2-2
April 5	@ Orioles	6 - 4	Batista (0-1)	24,824	2-3
April 6	@ Orioles	3 - 2	Lowe (0-1)	19,215	2-4
April 7	@ Orioles	5 - 4	O'Flaherty (0-1)	10,774	2-5
April 8	@ Rays	6 - 5	Glover (0-1)	36,048	3-5
April 9	@ Rays	7 - 1	Sonnanstine	12,106	4-5
April 10	@ Rays	7 - 0	Batista (0-2)	11,898	4-6
April 11	Angels	8 - 5	Weaver (1-2)	28,915	5-6
April 12	Angels	8 - 3	Garland (1-2)	34,963	6-6
April 13	Angels	10 - 5	Baek (0-1)	30,664	6-7
April 14	Royals	5 - 1	Washburn (1-2)	16,751	6-8
April 15	Royals	11 - 6	Bale (0-3)	17,137	7-8
April 16	@ Athletics	4 - 2	Blanton (1-3)	21,126	8-8
April 17	@ Athletics	8 - 1	DiNardo (1-1)	10,164	9-8
April 18	@ Angels	5 - 4	Dickey (0-1)	43,939	9-9
April 19	@ Angels	4 - 1	Washburn (1-2)	43,959	9-10
April 20	@ Angels	4 - 2	Moseley (1-2)	43,631	10-10
April 22	Orioles	4 - 2	Guthrie (0-2)	17,780	11-10
April 23	Orioles	3 - 2	Rowland-Smith (0-1)	16,823	11-11
April 24	Orioles	8 - 7	Green (1-1)	16,727	11-12
April 25	Athletics	4 - 3	Batista (2-3)	40,845	11-13
April 26	Athletics	5 - 3	Duchscherer (1-1)	37,563	12-13
April 27	Athletics	4 - 2	Hernández (2-1)	32,612	12-14
April 29	@ Indians	7 - 2	Betancourt (1-1)	13,827	13-14
April 30	@ Indians	8 - 3	Washburn (1-4)	15,279	13-15
