Season	Competition	Round	Opponent	Home	Away
2000–01	Intertoto Cup	R1	Glenavon	3–0	1–1
2000–01	Intertoto Cup	R2	Zagłębie Lubin	0–0	1–1
2000–01	Intertoto Cup	R3	Sigma Olomouc	1–1	0–1
2001–02	Intertoto Cup	R1	Anorthosis	7–0	2–0
2001–02	Intertoto Cup	R2	Bastia	1–0	1–0
2001–02	Intertoto Cup	R3	Aston Villa	2–1	0–2
2002–03	Intertoto Cup	R1	OD Trenčín	5–0	1–3
2002–03	Intertoto Cup	R2	Belenenses	2–0	1–0
2002–03	Intertoto Cup	R3	Marek Dupnitsa	3–1	3–0
2002–03	Intertoto Cup	SF	VfB Stuttgart	0–1	1–2
2004–05	Intertoto Cup	R1	Hibernians	3–0	1–2
2004–05	Intertoto Cup	R2	Vllaznia	2–0	0–1
2004–05	Intertoto Cup	R3	Spartak Trnava	0–0	2–2
2004–05	Intertoto Cup	SF	Lille	1–1	0–3
2005–06	Intertoto Cup	R1	Drava Ptuj	1–0	1–0
2005–06	Intertoto Cup	R2	Gloria Bistriţa	3–2	1–0
2005–06	Intertoto Cup	R3	Deportivo La Coruña	0–3	0–1
2007–08	UEFA Cup	QR1	Teuta	6–2	2–2
2007–08	UEFA Cup	QR2	Galatasaray	1–2	1–2
2008–09	UEFA Cup	QR1	Marsaxlokk	4–0	4–0
2008–09	UEFA Cup	QR2	Aris Thessaloniki	2–0	0–1
2008–09	UEFA Cup	R1	CSKA Moscow	1–2	0–1
2009–10	Europa League	QR1	Birkirkara	1–0	0–0
2009–10	Europa League	QR2	Milano	8–2	4–0
2009–10	Europa League	QR3	Tromsø	0–2	1–2
2012–13	Europa League	QR2	Portadown	6–0	4–2
2012–13	Europa League	QR3	Athletic Bilbao	2–1	1–3
