Club	Played	Drawn	Lost	Points for	Points against	Bonus points	Points
Club	Played	Drawn	Lost	Points for	Points against	Bonus points	Points
Perpignan	26	1	5	615	374	10	92
Toulouse	26	0	5	594	324	8	92
Clermont	26	1	9	752	367	17	83
Stade Français	26	1	9	622	450	12	78
Biarritz	26	0	11	516	398	11	71
Brive	26	4	9	481	481	6	66
Bayonne	26	2	10	475	481	6	66
Montauban	26	2	14	485	572	9	53
Toulon	26	2	15	409	488	11	51
Montpellier	26	0	15	408	568	6	50
Bourgoin	26	2	16	451	599	10	46
Castres	26	3	16	473	537	10	44
Dax	26	1	18	375	632	7	37
Mont-de-Marsan	26	1	20	325	730	7	29
