Date	Opponent	Location	Result	Attendance
09/05/1981	South Carolina	Groves Stadium • Winston-Salem, NC	L 6-23	29,300
09/12/1981	North Carolina State	Groves Stadium • Winston-Salem, NC	L 23-28	29,000
09/19/1981*	at Auburn	Jordan-Hare Stadium • Auburn, AL	W 24-21	63,000
09/26/1981	at Virginia Tech	Lane Stadium • Blacksburg, VA	L 14-30	42,200
10/03/1981*	Appalachian State	Groves Stadium • Winston-Salem, NC	W 15-14	24,500
10/10/1981*	at #5 North Carolina	Kenan Memorial Stadium • Chapel Hill, NC	L 10-48	51,692
10/17/1981*	Maryland	Groves Stadium • Winston-Salem, NC	L 33-45	24,500
10/24/1981*	at Virginia	Scott Stadium • Charlottesville, VA	W 24-21	24,222
10/31/1981*	at #3 Clemson	Memorial Stadium • Clemson, SC	L 24-82	60,383
11/07/1981	Duke	Wallace Wade Stadium • Durham, NC	L 10-31	22,000
11/14/1981	at Richmond	UR Stadium • Richmond, VA	W 34-22	15,285
