Position	Top MC	Year inducted	Appearances	Peak ranking
1	Kanye West	2007	6	1
1	Lil Wayne	2007	5	1
1	Jay-Z	2007	5	1
1	Rick Ross	2008	5	1
1	Kendrick Lamar	2012	1	1
1	Eminem	2010	1	1
7	Drake	2009	4	2
7	T.I.	2007	2	2
7	2 Chainz	2012	1	2
10	Game	2007	1	3
11	André 3000	2007	2	4
11	Nicki Minaj	2010	2	4
11	Nas	2012	1	4
14	Snoop Dogg	2008	1	5
15	Young Jeezy	2007	3	6
15	50 Cent	2007	3	6
15	Gucci Mane	2009	1	6
15	Big Sean	2011	2	6
19	Meek Mill	2011	2	7
19	Lupe Fiasco	2008	1	7
21	Fabolous	2009	1	8
21	Waka Flocka Flame	2010	1	8
21	ASAP Rocky	2012	1	8
24	Common	2007	1	9
24	B.o.B	2010	1	9
24	Wiz Khalifa	2011	1	9
24	Future	2012	1	9
28	Jim Jones	2007	1	10
28	Raekwon	2009	1	10
28	Ludacris	2010	1	10
