Opposing Teams	Against	Date	Venue	Status
Wales	26	02/02/2008	Twickenham , London	Six Nations
Italy	19	10/02/2008	Stadio Flaminio , Rome	Six Nations
France	13	23/02/2008	Stade de France , Saint-Denis	Six Nations
Scotland	15	08/03/2008	Murrayfield , Edinburgh	Six Nations
Ireland	10	15/03/2008	Twickenham , London	Six Nations
New Zealand	37	14/06/2008	Eden Park , Auckland	First Test
New Zealand	44	21/06/2008	AMI Stadium , Christchurch	Second Test
Pacific Islanders	13	08/11/2008	Twickenham , London	Test Match
Australia	28	15/11/2008	Twickenham , London	Test Match
South Africa	42	22/11/2008	Twickenham , London	Test Match
New Zealand	32	29/11/2008	Twickenham , London	Test Match
