Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Witton Albion	40	9	3	81	31	+50	93
2	Stalybridge Celtic	40	11	7	44	26	+18	77
3	Morecambe	40	16	5	72	44	+28	73
4	Fleetwood Town	40	9	11	69	44	+25	69
5	Southport	40	14	8	66	48	+18	68
6	Marine	40	11	11	56	39	+17	65
7	Bishop Auckland	40	10	13	62	56	+6	61
8	Buxton	40	11	12	66	61	+5	59 2
9	Leek Town	40	11	14	48	44	+4	56
10	Frickley Athletic	40	6	18	64	62	+2	54
11	Hyde United	40	11	15	73	63	+10	53
12	Goole Town	40	10	16	68	74	−6	52
13	Droylsden	40	11	17	67	70	−3	47
14	Chorley	40	10	18	55	55	0	46
15	Mossley	40	10	17	55	68	−13	45 3
16	Horwich RMI	40	6	21	62	81	−19	45
17	Matlock Town	40	7	21	52	70	−18	43
18	Bangor City	40	12	19	52	70	−18	39
19	South Liverpool	40	9	21	58	92	−34	39
20	Gainsborough Trinity	40	11	20	57	84	−27	38
21	Shepshed Charterhouse	40	7	27	38	83	−45	25
