Colt model no.	Stock	Fire control	Rear sight	Forward assist	Barrel length	Barrel profile	Barrel twist	Hand guards	Bayonet Lug	Muzzle device
LE1020	4th Generation	S-1	Flattop	Yes	16 in.	M4	1:7	Rail System	Yes	A2
LE1033	4th Generation	S-1	Flattop	Yes	11.5 in.	A2	1:7	Rail System	Yes	A2
LE6920	4th Generation	S-1	Flattop	Yes	16 in.	M4	1:7	M4	Yes	A2
LE6920HB	4th Generation	S-1	Flattop	Yes	16 in.	M4 HBAR	1:7	M4	Yes	A2
LE6921	4th Generation	S-1	Flattop	Yes	14.5 in.	M4	1:7	M4	Yes	A2
LE6921CQB	4th Generation	S-1	Flattop	Yes	10.5 in.	M4 HBAR	1:7	M4	Yes	A2
LE6921HB	4th Generation	S-1	Flattop	Yes	14.5 in.	M4 HBAR	1:7	M4	Yes	A2
LE6921SP	4th Generation	S-1	Flattop	Yes	10 in.	M4 HBAR	1:7	M4	Yes	A2
LE6933	4th Generation	S-1	Flattop	Yes	11.5 in.	A2	1:7	Short Ribbed	Yes	A2
LE6940	4th Generation	S-1	Flattop	Yes	16 in.	M4	1:7	Monolithic Rail System	Yes	A2
LE6941	4th Generation	S-1	Flattop	Yes	16 in.	M4	1:7	Rail System	Yes	A2
