Year	Winner	Country	Score	Runner(s)-up
1972	Sandra Palmer	United States	283	Judy Rankin , Mickey Wright
1967–71 No tournament	1967–71 No tournament	1967–71 No tournament	1967–71 No tournament	1967–71 No tournament
1966	Kathy Whitworth	United States	291	Judy Kimball-Simon , Mary Mills
1965	Kathy Whitworth	United States	287	Peggy Wilson
1964	Marilynn Smith	United States	289	Mickey Wright
1963	Marilynn Smith	United States	292 PO	Mickey Wright
1962	Mickey Wright	United States	295 PO	Ruth Jessen
1961	Mickey Wright	United States	299	Patty Berg , Louise Suggs
1960	Fay Crocker	Uruguay	303	Kathy Cornelius
1959	Louise Suggs	United States	297	Betsy Rawls
1958	Beverly Hanson	United States	299	Betty Dodd
1957	Patty Berg	United States	296	Anne Quast (a)
1956	Louise Suggs	United States	302	Patty Berg
1955	Patty Berg	United States	291	Mary Lena Faulk
1954	Louise Suggs	United States	293	Patty Berg
1953	Patty Berg	United States	294	Betsy Rawls
1952	Babe Zaharias	United States	299	Betsy Rawls
1951	Pat O'Sullivan (a)	United States	301	Beverly Hanson
1950	Babe Zaharias	United States	298	Claire Doran (a)
1949	Peggy Kirk (a)	United States	299	Patty Berg , Dorothy Kirby (a)
1948	Patty Berg	United States	308	Peggy Kirk (a), Babe Zaharias
1947	Babe Zaharias (a)	United States	304	Dorothy Kirby (a)
1946	Louise Suggs (a)	United States	314	Eileen Stulb (a)
1943–45 No tournament	1943–45 No tournament	1943–45 No tournament	1943–45 No tournament	1943–45 No tournament
1942	Dorothy Kirby (a)	United States	239^	Eileen Stulb (a)
1941	Dorothy Kirby (a)	United States	224^	Helen Sigel
1940	Helen Hicks (a)	United States	336	Helen Dettweiler
1939	Patty Berg (a)	United States	319	Dorothy Kirby (a)
1938	Patty Berg (a)	United States	311	Jane Cothran (a)
1937	Patty Berg (a)	United States	240^	Dorothy Kirby (a)
