Name	Height	Weight	Spike	2008 club
Nobuharu Saito Category:Articles with hCards	m ()	kg (lb)	cm (in)	Toray Arrows
Daisuke Usami Category:Articles with hCards	m ()	kg (lb)	cm (in)	Panasonic Panthers
Takahiro Yamamoto Category:Articles with hCards	m ()	kg (lb)	cm (in)	Panasonic Panthers
Masaji Ogino Category:Articles with hCards	m ()	kg (lb)	cm (in)	Suntory Sunbirds
Yoshihiko Matsumoto Category:Articles with hCards	m ()	kg (lb)	cm (in)	NEC Blue Rockets
Kota Yamamura Category:Articles with hCards	m ()	kg (lb)	cm (in)	Suntory Sunbirds
Kunihiro Shimizu Category:Articles with hCards	m ()	kg (lb)	cm (in)	Tokai University
Tatsuya Fukuzawa Category:Articles with hCards	m ()	kg (lb)	cm (in)	Chuo University
Katsutoshi Tsumagari Category:Articles with hCards	m ()	kg (lb)	cm (in)	Suntory Sunbirds
Yusuke Ishijima Category:Articles with hCards	m ()	kg (lb)	cm (in)	Osaka Blazers Sakai
Yu Koshikawa Category:Articles with hCards	m ()	kg (lb)	cm (in)	Suntory Sunbirds
Kosuke Tomonaga Category:Articles with hCards	m ()	kg (lb)	cm (in)	Osaka Blazers Sakai
