Rank	Games	Player	Club	Career span
1	426	Michael Tuck	Hawthorn	1972–1991
2	403	Kevin Bartlett	Richmond	1965–1983
3	383	Robert Harvey	St Kilda	1988–2008
4	378	Dustin Fletcher	Essendon	1993–present
4	378	Simon Madden	Essendon	1974–1992
5	375	Craig Bradley	Carlton	1986–2002
6	364	Brad Johnson	Footscray/Western Bulldogs	1994–2010
7	362	Brent Harvey	North Melbourne/Kangaroos	1996–present
8	340	Andrew McLeod	Adelaide	1995–2010
9	333	Kevin Murray	Fitzroy	1955–1964, 1967–1974
10	331	Adam Goodes	South Melbourne/Sydney Swans	1999–present
11	325	Ian Nankervis	Geelong	1967–1983
12	322	Simon Black	Brisbane Lions	1998–present
13	313	Tony Shaw	Collingwood	1977–1994
14	306	David Neitz	Melbourne	1993–2008
15	291	Matthew Pavlich	Fremantle	2001–present
16	276	Glen Jakovich	West Coast Eagles	1991–2004
17	268	Kane Cornes	Port Adelaide	1997–present
18	164	Roger Merrett	Brisbane Bears	1988–1996
19	101	Bert Hurrey	University	1908–1913
20	61	Gary Ablett	Gold Coast	2011–present
21	42	Jonathan Giles	Greater Western Sydney	2012–present
Source: . Last updated: 28 September 2013.	Source: . Last updated: 28 September 2013.	Source: . Last updated: 28 September 2013.	Source: . Last updated: 28 September 2013.	Source: . Last updated: 28 September 2013.
