Heat	Lane	Name	Country	Mark
1	1	Maria de Lurdes Mutola	Mozambique	2:01.81
1	2	Mayte Martínez	Spain	2:01.86
1	3	Tamsyn Lewis	Australia	2:02.07
1	4	Ewelina Sętowska-Dryk	Poland	2:02.38
1	5	Nicole Teter	United States	2:04.72
1	6	Seltana Aït Hammou	Morocco	DSQ
2	1	Tetiana Petlyuk	Ukraine	1:59.58 SB
2	2	Jennifer Meadows	United Kingdom	1:59.73 PB
2	3	Elisa Cusma Piccione	Italy	2:00.36 NR
2	4	Mihaela Neacsu	Romania	2:01.70
2	5	Marian Burnett	Guyana	2:02.27 NR
2	6	Margarita Fuentes-Pila	Spain	2:05.58 SB
