Place	Player	Country	Score	To par
1	George Burns	United States	69-66=135	–5
2	David Graham	Australia	68-68=136	–4
T3	Jack Nicklaus	United States	69-68=137	–3
T3	Tommy Valentine	United States	69-68=137	–3
T5	John Cook	United States	68-70=138	–2
T5	Billy Kratzert	United States	69-69=138	–2
T5	Greg Norman	Australia	71-67=138	–2
T5	Bill Rogers	United States	70-68=138	–2
T9	Jerry Pate	United States	70-69=139	–1
T9	Jack Renner	United States	68-71=139	–1
T9	John Schroeder	United States	71-68=139	–1
T9	Scott Simpson	United States	72-67=139	–1
T9	Jim Thorpe	United States	66-73=139	–1
T9	Lanny Wadkins	United States	71-68=139	–1
T9	Tom Watson	United States	70-69=139	–1
