Game	Date	Opponent	Score	First Star	Decision	Location	Attendance	Record	Points
42	January 2	Montreal Canadiens	4-3 OT	D. Byfuglien	O. Pavelec	Bell Centre	21273	21-15-6	48
43	January 5	Florida Panthers	3-2	R. Peverley	O. Pavelec	BankAtlantic Center	12803	22-15-6	50
44	January 7	Toronto Maple Leafs	3-9	M. Grabovski	O. Pavelec	Philips Arena	14592	22-16-6	50
45	January 9	Carolina Hurricanes	3-4 OT	T. Ruutu	O. Pavelec	RBC Center	17907	22-16-7	51
46	January 14	Philadelphia Flyers	2-5	D. Briere	O. Pavelec	Philips Arena	15081	22-17-7	51
47	January 15	Dallas Stars	1-6	T. Daley	O. Pavelec	American Airlines Center	17702	22-18-7	51
48	January 17	Florida Panthers	3-2 SO	A. Burmistrov	O. Pavelec	BankAtlantic Center	11477	23-18-7	53
49	January 20	Tampa Bay Lightning	2-3 SO	S. Stamkos	O. Pavelec	Philips Arena	12314	23-18-8	54
50	January 22	New York Rangers	2-3 SO	M. Zuccarello	O. Pavelec	Philips Arena	17061	23-18-9	55
51	January 23	Tampa Bay Lightning	1-7	S. Gagne	O. Pavelec	St. Pete Times Forum	13916	23-19-9	55
