Shipyard	Laid down	Launched	Commissioned	Fleet	Status
SEVMASH, Severodvinsk	May 30, 1961	September 6, 1962	October 31, 1963	Northern	Decommissioned 1989 for scrapping
SEVMASH, Severodvinsk	January 11, 1962	June 16, 1963	December 15, 1963	Northern	Decommissioned 1990 for scrapping
SEVMASH, Severodvinsk	May 16, 1962	August 4, 1963	December 26, 1963	Northern	Decommissioned 1991 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	March 17, 1962	September 30, 1962	December 30, 1963	Pacific	Decommissioned 1990 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	February 2, 1963	August 25, 1963	March 31, 1964	Pacific	Decommissioned 1990 for scrapping
SEVMASH, Severodvinsk	August 8, 1962	December 25, 1963	July 30, 1964	Northern	Decommissioned 1990 for scrapping
SEVMASH, Severodvinsk	August 7, 1962	February 10, 1964	August 31, 1964	Northern	Decommissioned 1994-5 for scrapping
SEVMASH, Severodvinsk	January 11, 1963	April 30, 1964	September 30, 1964	Northern	Decommissioned 1992 for scrapping
SEVMASH, Severodvinsk	April 26, 1963	June 30, 1964	December 16, 1964	Northern	Decommissioned 1990 for scrapping
SEVMASH, Severodvinsk	January 6, 1964	January 27, 1965	June 30, 1965	Northern	Decommissioned 1993 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	April 6, 1963	May 9, 1964	July 24, 1965	Pacific	Decommissioned 1991 for scrapping
SEVMASH, Severodvinsk	July 23, 1963	September 30, 1964	July 30, 1965	Northern	Decommissioned 1992 for scrapping
SEVMASH, Severodvinsk	October 14, 1963	November 29, 1964	August 7, 1965	Northern	Decommissioned 1995 for scrapping
SEVMASH, Severodvinsk	February 29, 1964	April 17, 1965	September 25, 1965	Northern	Decommissioned 1989 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	January 11, 1964	September 8, 1964	September 30, 1965	Pacific	Decommissioned 1987 for scrapping
SEVMASH, Severodvinsk	June 8, 1964	June 19, 1965	October 29, 1965	Pacific	Decommissioned 1985 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	October 19, 1963	September 26, 1964	October 31, 1965	Pacific	Decommissioned 1992 for scrapping
SEVMASH, Severodvinsk	September 1, 1964	September 11, 1965	December 18, 1965	Northern	Decommissioned 1991 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	April 11, 1964	June 16, 1965	December 31, 1965	Pacific	Decommissioned 1990 for scrapping
SEVMASH, Severodvinsk	October 29, 1964	December 30, 1965	August 25, 1966	Northern	Decommissioned 1990 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	May 30, 1964	August 10, 1965	August 26, 1966	Pacific	Decommissioned 1992 for scrapping
SEVMASH, Severodvinsk	December 31, 1964	June 6, 1966	September 30, 1966	Northern	Decommissioned 1994 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	October 24, 1964	September 29, 1965	October 15, 1966	Pacific	Decommissioned 1989 for scrapping
SEVMASH, Severodvinsk	February 27, 1965	July 27, 1967	November 25, 1966	Northern	Decommissioned 1988 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	March 20, 1965	May 20, 1966	December 27, 1966	Pacific	Decommissioned 1992 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	July 24, 1965	August 26, 1966	March 31, 1967	Pacific	Decommissioned 1990 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	November 6, 1965	September 25, 1966	September 30, 1967	Pacific	Decommissioned 1990 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	February 23, 1966	June 18, 1967	December 30, 1967	Pacific	Decommissioned 1992 for scrapping
Leninskiy Komsomol Shipyard, Komsomolsk-na-Amure	June 18, 1966	September 23, 1967	December 30, 1968	Pacific	Decommissioned 1994 for scrapping
