Name	Position	Height	Weight(lbs)	Born	College	Drafted
Walter Clago	E	6'0	195	6/?/1899 Detroit, MI	Detroit	Undrafted
Darris McCord	DE/DT/OE	6'6"	250	January 4, 1933 Detroit, MI	Tennessee	1955, R3, P11
Ben John Paolucci	DT	6'2"	240	March 5, 1937 Cleveland, OH	Wayne State	Undrafted
Arnie Simkus	DE/DT	6'4"	245	March 25, 1943 Schlava, GER	Michigan	1965, R6, P2
David Boone, Jr.	DE	6'3"	248	October 30, 1951 Detroit, MI	Eastern Mich	1974,R11,P11
Aaron Kyle	CB/S	5'11"	185	April 6, 1954 Detroit, MI	Wyoming	1976,R1,P26
Tom Seabron	LB	6'3"	215	May 24, 1957 Baltimore, MD	Michigan	1979,R5,P1
Harlan Huckleby	RB	6'1"	200	December 30, 1957 Detroit, MI	Michigan	1979,R5,P1
Curtis Greer	DE	6'4"	256	November 10, 1957 Detroit, MI	Michigan	1976,R1,P6
Guy Frazier	LB	6'2"	217	July 20, 1959 Detroit, MI	Wyoming	1981,R4,P10
Thomas Sidney Sims	DT/NT	6'2"	288	April 18, 1967 Detroit, MI	Pittsburgh	1990,R6,P14
Pat Ivey	DE	6'4"	255	December 27, 1972 Detroit, MI	Mizzou	Undrafted
A. J. Ofodile	TE	6'7"	260	October 9, 1973 Detroit, MI	Mizzou	1994,R5,P25
Clarence Williams	RB	5'9"	193	May 16, 1977 Detroit, MI	Michigan	Undrafted
Vernon Gholston	DE	6'3"	264	June 5, 1986 Detroit, MI	Ohio State	2008,R1,P6
Joseph Barksdale ‡	OT	6'4"	325	January 1, 1989 Detroit, MI	LSU	2011,R3,P12
Will Campbell ‡	OG	6'4"	311	July 6, 1991 Detroit, MI	Michigan	2013,R6,P10
